round,responses_received,avg_accuracy,classification_accuracy,regression_accuracy,total_clients,active_clients,training_time,synchronization_events,global_model_version,timestamp
1,3,0.4371,0.5777,0.1561,3,3,52.05,1,1,2025-10-20 22:19:28
2,3,0.5043,0.6407,0.2315,3,3,34.08,2,2,2025-10-20 22:20:02
3,3,0.5495,0.6587,0.3313,3,3,56.12,3,3,2025-10-20 22:20:58
4,3,0.5944,0.6857,0.4118,3,3,48.11,4,4,2025-10-20 22:21:46
5,3,0.6005,0.7047,0.3922,3,3,46.09,5,5,2025-10-20 22:22:33
6,3,0.6297,0.7303,0.4284,3,3,68.11,6,6,2025-10-20 22:23:41
7,3,0.6704,0.7657,0.4800,3,3,56.10,7,7,2025-10-20 22:24:37
8,3,0.6929,0.7750,0.5287,3,3,36.08,8,8,2025-10-20 22:25:13
9,3,0.7115,0.7973,0.5397,3,3,48.09,9,9,2025-10-20 22:26:01
10,3,0.7026,0.8033,0.5010,3,3,34.08,10,10,2025-10-20 22:26:35
11,3,0.7294,0.8183,0.5515,3,3,44.08,11,11,2025-10-20 22:27:19
12,3,0.7453,0.8293,0.5773,3,3,50.11,12,12,2025-10-20 22:28:09
13,3,0.7382,0.8467,0.5211,3,3,40.08,13,13,2025-10-20 22:28:49
14,3,0.7601,0.8433,0.5937,3,3,66.13,14,14,2025-10-20 22:29:55
15,3,0.7727,0.8527,0.6128,3,3,66.11,15,15,2025-10-20 22:31:01
16,3,0.7713,0.8507,0.6126,3,3,74.12,16,16,2025-10-20 22:32:16
17,3,0.7906,0.8760,0.6198,3,3,44.08,17,17,2025-10-20 22:33:00
18,3,0.7943,0.8770,0.6290,3,3,54.10,18,18,2025-10-20 22:33:54
19,3,0.7888,0.8777,0.6111,3,3,46.09,19,19,2025-10-20 22:34:40
20,3,0.7710,0.8543,0.6042,3,3,50.09,20,20,2025-10-20 22:35:30
21,3,0.7930,0.8873,0.6044,3,3,42.08,21,21,2025-10-20 22:36:12
22,3,0.7958,0.8720,0.6435,3,3,56.10,22,22,2025-10-20 22:37:08
23,3,0.8004,0.8803,0.6406,3,3,38.09,23,23,2025-10-20 22:37:46
24,3,0.7926,0.8740,0.6299,3,3,42.08,24,24,2025-10-20 22:38:28
25,3,0.7911,0.8660,0.6414,3,3,46.09,25,25,2025-10-20 22:39:14
26,3,0.8060,0.8833,0.6514,3,3,46.09,26,26,2025-10-20 22:40:00
27,3,0.7965,0.8637,0.6621,3,3,40.09,27,27,2025-10-20 22:40:41
28,3,0.7989,0.8730,0.6506,3,3,44.09,28,28,2025-10-20 22:41:25
29,3,0.6780,0.8777,0.2787,3,3,36.08,29,29,2025-10-20 22:42:01
30,3,0.5776,0.8663,0.0000,3,3,58.11,30,30,2025-10-20 22:42:59
