round,responses_received,avg_accuracy,classification_accuracy,regression_accuracy,total_clients,active_clients,training_time,synchronization_events,global_model_version,timestamp
1,3,0.6446,0.7684,0.3968,3,3,1165.48,1,1,2025-10-27 11:54:37
2,3,0.7328,0.8081,0.5822,3,3,1096.80,2,2,2025-10-27 12:12:54
3,3,0.7683,0.8277,0.6496,3,3,1066.79,3,3,2025-10-27 12:30:41
4,3,0.7862,0.8399,0.6788,3,3,1086.79,4,4,2025-10-27 12:48:48
5,3,0.7991,0.8489,0.6995,3,3,1052.57,5,5,2025-10-27 13:06:20
6,3,0.8158,0.8574,0.7326,3,3,1048.36,6,6,2025-10-27 13:23:49
7,3,0.8217,0.8642,0.7367,3,3,1042.24,7,7,2025-10-27 13:41:11
8,3,0.8303,0.8695,0.7519,3,3,1070.35,8,8,2025-10-27 13:59:01
9,3,0.8350,0.8740,0.7569,3,3,1082.30,9,9,2025-10-27 14:17:04
10,3,0.8379,0.8779,0.7581,3,3,1016.12,10,10,2025-10-27 14:34:00
11,3,0.8453,0.8823,0.7714,3,3,1056.59,11,11,2025-10-27 14:51:36
12,3,0.8503,0.8843,0.7822,3,3,1072.40,12,12,2025-10-27 15:09:29
13,3,0.8504,0.8890,0.7731,3,3,1068.81,13,13,2025-10-27 15:27:18
14,3,0.8524,0.8905,0.7762,3,3,1052.03,14,14,2025-10-27 15:44:50
15,3,0.8591,0.8928,0.7917,3,3,1056.73,15,15,2025-10-27 16:02:26
16,3,0.8599,0.8954,0.7890,3,3,1050.72,16,16,2025-10-27 16:19:57
17,3,0.8582,0.8965,0.7815,3,3,1060.76,17,17,2025-10-27 16:37:38
18,3,0.8592,0.8985,0.7805,3,3,1090.49,18,18,2025-10-27 16:55:48
19,3,0.8610,0.8997,0.7837,3,3,1112.65,19,19,2025-10-27 17:14:21
20,3,0.8591,0.9003,0.7767,3,3,1084.38,20,20,2025-10-27 17:32:25
21,3,0.8583,0.9030,0.7691,3,3,1034.19,21,21,2025-10-27 17:49:40
22,3,0.8551,0.9041,0.7573,3,3,1098.62,22,22,2025-10-27 18:07:58
23,3,0.8509,0.9047,0.7434,3,3,1044.31,23,23,2025-10-27 18:25:23
24,3,0.8518,0.9059,0.7437,3,3,1042.12,24,24,2025-10-27 18:42:45
25,3,0.8495,0.9063,0.7358,3,3,1032.38,25,25,2025-10-27 18:59:57
26,3,0.8486,0.9063,0.7332,3,3,1046.35,26,26,2025-10-27 19:17:23
27,3,0.8502,0.9080,0.7346,3,3,1042.19,27,27,2025-10-27 19:34:46
28,3,0.8465,0.9089,0.7217,3,3,1096.58,28,28,2025-10-27 19:53:02
29,3,0.8468,0.9094,0.7217,3,3,1084.32,29,29,2025-10-27 20:11:06
30,3,0.8442,0.9092,0.7140,3,3,1100.44,30,30,2025-10-27 20:29:27
