round,client_id,task,accuracy,loss,samples_processed,correct_predictions,val_accuracy,val_loss,val_samples,val_correct_predictions,timestamp
1,stsb_client,stsb,0.36583882954758895,0.0741674502689106,4249,1049,0.5988081824185975,0.05661421559969003,1500,418,2025-10-26 07:51:24
1,sst2_client,sst2,0.7767498533327316,0.4727857700949165,66477,51636,0.8325688073394495,0.40013001105585777,872,726,2025-10-26 07:57:00
1,qqp_client,qqp,0.69,0.5790459962431341,32000,22080,0.73175,0.5268966786265373,4000,2927,2025-10-26 07:57:57
2,stsb_client,stsb,0.5598478140842206,0.058866337807920444,4249,1273,0.6292001932610466,0.05690978564312087,1500,523,2025-10-26 07:58:57
2,sst2_client,sst2,0.8232922664981873,0.4052444216717936,66477,54730,0.8486238532110092,0.3668365797045034,872,740,2025-10-26 08:04:26
2,qqp_client,qqp,0.73503125,0.5290942577673122,32000,23521,0.746,0.5015031718313694,4000,2984,2025-10-26 08:05:12
3,stsb_client,stsb,0.6194641023026892,0.052853674949514436,4249,1305,0.6479568826107951,0.05340424958775018,1500,538,2025-10-26 08:06:11
3,sst2_client,sst2,0.8453901349338869,0.3716043625094185,66477,56199,0.8784403669724771,0.3176410479488176,872,766,2025-10-26 08:11:44
3,qqp_client,qqp,0.75140625,0.5024893756015226,32000,24045,0.7595,0.5043413591757416,4000,3038,2025-10-26 08:12:20
4,stsb_client,stsb,0.6564074180331402,0.048833908828953984,4249,1347,0.6994469740567341,0.04417688800814621,1500,545,2025-10-26 08:13:21
4,sst2_client,sst2,0.861621312634445,0.346467341679943,66477,57278,0.8876146788990825,0.3044494251472824,872,774,2025-10-26 08:18:49
4,qqp_client,qqp,0.7658125,0.482260601551272,32000,24506,0.76775,0.47616511132195594,4000,3071,2025-10-26 08:19:23
5,stsb_client,stsb,0.6836490637517728,0.045719157048340016,4249,1448,0.7120885847990146,0.04263369943649369,1500,588,2025-10-26 08:20:22
5,sst2_client,sst2,0.8745581178452698,0.32773343022777135,66477,58138,0.8864678899082569,0.33230880733340157,872,773,2025-10-26 08:25:53
5,qqp_client,qqp,0.782875,0.46169593860488384,32000,25052,0.76725,0.48454623655974866,4000,3069,2025-10-26 08:26:30
