round,responses_received,avg_accuracy,classification_accuracy,regression_accuracy,total_clients,active_clients,training_time,synchronization_events,global_model_version,timestamp
1,3,0.6109,0.7334,0.3658,3,3,452.87,1,1,2025-10-26 07:57:57
2,3,0.7061,0.7792,0.5598,3,3,434.96,2,2,2025-10-26 08:05:12
3,3,0.7388,0.7984,0.6195,3,3,429.04,3,3,2025-10-26 08:12:21
4,3,0.7613,0.8137,0.6564,3,3,422.80,4,4,2025-10-26 08:19:24
5,3,0.7804,0.8287,0.6836,3,3,426.88,5,5,2025-10-26 08:26:31
6,3,0.7937,0.8376,0.7059,3,3,426.88,6,6,2025-10-26 08:33:38
7,3,0.8044,0.8470,0.7193,3,3,425.10,7,7,2025-10-26 08:40:43
8,3,0.8143,0.8533,0.7364,3,3,420.84,8,8,2025-10-26 08:47:44
9,3,0.8204,0.8598,0.7417,3,3,418.80,9,9,2025-10-26 08:54:43
10,3,0.8296,0.8663,0.7562,3,3,422.95,10,10,2025-10-26 09:01:46
11,3,0.8367,0.8711,0.7679,3,3,420.98,11,11,2025-10-26 09:08:47
12,3,0.8393,0.8756,0.7667,3,3,420.75,12,12,2025-10-26 09:15:47
13,3,0.8426,0.8805,0.7667,3,3,426.82,13,13,2025-10-26 09:22:54
14,3,0.8469,0.8838,0.7730,3,3,422.84,14,14,2025-10-26 09:29:57
15,3,0.8511,0.8876,0.7780,3,3,422.89,15,15,2025-10-26 09:37:00
16,3,0.8527,0.8904,0.7773,3,3,424.96,16,16,2025-10-26 09:44:05
17,3,0.8544,0.8936,0.7761,3,3,426.82,17,17,2025-10-26 09:51:12
18,3,0.8545,0.8960,0.7714,3,3,424.86,18,18,2025-10-26 09:58:16
19,3,0.8532,0.8988,0.7621,3,3,420.91,19,19,2025-10-26 10:05:17
20,3,0.8561,0.8997,0.7687,3,3,420.88,20,20,2025-10-26 10:12:18
21,3,0.8554,0.9026,0.7611,3,3,428.99,21,21,2025-10-26 10:19:27
22,3,0.8536,0.9027,0.7554,3,3,420.85,22,22,2025-10-26 10:26:28
23,3,0.8537,0.9056,0.7500,3,3,424.80,23,23,2025-10-26 10:33:33
24,3,0.8529,0.9057,0.7472,3,3,422.87,24,24,2025-10-26 10:40:36
25,3,0.8529,0.9076,0.7436,3,3,420.90,25,25,2025-10-26 10:47:37
26,3,0.8478,0.9084,0.7265,3,3,420.95,26,26,2025-10-26 10:54:38
27,3,0.8490,0.9089,0.7291,3,3,418.75,27,27,2025-10-26 11:01:36
28,3,0.8433,0.9097,0.7105,3,3,420.80,28,28,2025-10-26 11:08:37
29,3,0.8466,0.9098,0.7202,3,3,420.91,29,29,2025-10-26 11:15:38
30,3,0.8448,0.9118,0.7109,3,3,422.95,30,30,2025-10-26 11:22:41
