Model,Total_Files,Unique_Folders,Total_Size_MB,Folders
tiny_bert,43,10,0.58,"['tinybert_centralized_single_sst2', 'tinybert_centralized_single_qqp', 'tinybert_centralized_mtl', 'tinybert_fl_single_qqp_non-iid_3clients', 'fl_mtl_iid_1client', 'tinybert_fl_single_sst2_non-iid_3clients', 'tinybert_fl_mtl_lora_3clients', 'tinybert_fl_single_stsb_non-iid_3clients', 'tinybert_fl_mtl_non-iid_9clients', 'tinybert_centralized_single_stsb']"
mini-lm,43,10,0.5,"['minilm_fl_mtl_iid_3clients', 'minilm_fl_mtl_non-iid_9clients', 'minilm_centralized_mtl', 'minilm_fl_single_stsb_non-iid_3clients', 'minilm_fl_single_sst2_non-iid_3clients', 'minilm_centralized_single_stsb', 'minilm_centralized_single_sst2', 'minilm_centralized_single_qqp', 'minilm_fl_mtl_lora_3clients', 'minilm_fl_single_qqp_non-iid_3clients']"
mini-bert,43,10,0.51,"['minibert_fl_single_stsb_non-iid_3clients', 'minibert_centralized_mtl', 'minibert_fl_mtl_non-iid_9clients', 'fl_mtl_iid_1client', 'minibert_centralized_single_stsb', 'minibert_centralized_single_qqp', 'minibert_fl_single_qqp_non-iid_3clients', 'minibert_centralized_single_sst2', 'minibert_fl_mtl_lora_3clients', 'minibert_fl_single_sst2_non-iid_3clients']"
medium-bert,43,10,0.52,"['mediumbert_fl_single_sst2_non-iid_3clients', 'mediumbert_centralized_single_sst2', 'mediumbert_fl_mtl_lora_3clients', 'mediumbert_centralized_single_qqp', 'fl_mtl_iid_1client', 'mediumbert_centralized_single_stsb', 'mediumbert_fl_single_qqp_non-iid_3clients', 'mediumbert_fl_mtl_non-iid_9clients', 'mediumbert_centralized_mtl', 'mediumbert_fl_single_stsb_non-iid_3clients']"
distil-bert,43,10,0.5,"['distilbert_fl_single_stsb_non-iid_3clients', 'distilbert_fl_single_qqp_non-iid_3clients', 'distilbert_fl_mtl_non-iid_9clients', 'fl_mtl_iid_1client', 'distilbert_centralized_single_qqp', 'distilbert_fl_single_sst2_non-iid_3clients', 'distilbert_centralized_mtl', 'distilbert_centralized_single_sst2', 'distilbert_fl_mtl_lora_3clients', 'distilbert_centralized_single_stsb']"
