epoch,training_time,sst2_val_accuracy,sst2_val_f1,qqp_val_accuracy,qqp_val_f1,stsb_val_pearson,stsb_val_spearman,total_val_loss,gpu_usage,cpu_usage,memory_usage,timestamp
1,1229.134048,0.7408256880733946,0.6606606606606606,0.7377450980392157,0.8366412213740458,0.8551995851921645,0.8575977263063518,70.5657119328777,4.321388951085961,8.0,43.7,2026-02-25 15:05:37
2,1607.317981,0.8532110091743119,0.8375634517766497,0.7328431372549019,0.8350983358547656,0.85104395009104,0.8516097951330759,72.89408338659753,4.321388951085961,22.8,46.1,2026-02-25 15:32:25
3,1475.033409,0.8738532110091743,0.8651960784313726,0.7622549019607843,0.8500772797527048,0.8624236351347275,0.8610316521606326,62.92124322142141,4.321388951085961,35.1,49.6,2026-02-25 15:57:00
4,1191.218961,0.8761467889908257,0.8723404255319149,0.7769607843137255,0.8566929133858268,0.852454675392345,0.8490929588788444,65.8510666093789,4.321388951085961,7.7,43.3,2026-02-25 16:16:51
5,1071.905968,0.8853211009174312,0.882903981264637,0.7377450980392157,0.8386123680241327,0.8583766434929019,0.8570611369685512,71.07237883439909,4.321388951085961,10.6,47.4,2026-02-25 16:34:43
6,1102.633946,0.8944954128440367,0.8952164009111617,0.7426470588235294,0.8411497730711044,0.8553093398814908,0.8517610237524338,73.29335119315267,4.321388951085961,9.0,43.7,2026-02-25 16:53:05
7,1171.466889,0.8887614678899083,0.8862837045720985,0.7450980392156863,0.8419452887537994,0.8555010615238541,0.853925700643839,76.05924182891613,4.321388951085961,23.6,45.5,2026-02-25 17:12:37
8,1096.998228,0.8887614678899083,0.8868144690781797,0.7401960784313726,0.8398791540785498,0.8542573027061848,0.852235064247299,79.57691489922097,4.321388951085961,7.0,44.2,2026-02-25 17:30:54
9,1106.278247,0.8853211009174312,0.882903981264637,0.7573529411764706,0.8488549618320611,0.857063714251804,0.8547759467814487,82.89527166784198,4.321388951085961,6.1,44.2,2026-02-25 17:49:20
10,1093.290361,0.8979357798165137,0.8994350282485876,0.7818627450980392,0.8615863141524106,0.8530742650860371,0.8504528815243177,83.8551407191735,4.321388951085961,6.1,44.2,2026-02-25 18:07:33
11,1097.940092,0.8899082568807339,0.8875878220140515,0.7573529411764706,0.8488549618320611,0.8575613747494323,0.8554132479324343,83.41953171438945,4.321388951085961,6.1,44.0,2026-02-25 18:25:51
12,1140.234318,0.8910550458715596,0.8950276243093923,0.7598039215686274,0.8501529051987767,0.8559042648922515,0.8544269180711397,97.03725454276172,4.321388951085961,6.1,44.2,2026-02-25 18:44:52
13,1064.837153,0.9002293577981652,0.9016949152542372,0.7720588235294118,0.8562596599690881,0.8632584475552566,0.859698628110211,93.27762278767985,4.321388951085961,6.0,44.1,2026-02-25 19:02:36
14,1090.060962,0.8887614678899083,0.8886337543053962,0.7671568627450981,0.8540706605222734,0.8593617055427702,0.8562803268218588,102.0404403294721,4.321388951085961,6.1,43.7,2026-02-25 19:20:47
15,1150.572261,0.8956422018348624,0.8957617411225659,0.7671568627450981,0.8540706605222734,0.8571309953898575,0.8551293224698427,100.83688206681605,4.321388951085961,5.9,44.2,2026-02-25 19:39:57
16,1102.556968,0.9025229357798163,0.9069003285870756,0.8112745098039216,0.8768,0.8635447821041434,0.8614326862448632,94.141106138539,4.321388951085961,6.6,43.9,2026-02-25 19:58:20
17,628.03556,0.9013761467889908,0.9027149321266968,0.7769607843137255,0.8593508500772797,0.8610037924479848,0.8595880301692157,99.83393065992256,4.321388951085961,4.6,43.5,2026-02-25 20:08:48
18,624.813864,0.9013761467889908,0.9035874439461884,0.7965686274509803,0.8688783570300158,0.8593212679166061,0.8570684554789332,102.60457995215212,4.321388951085961,4.4,43.5,2026-02-25 20:19:13
19,626.040304,0.9036697247706422,0.9076923076923076,0.7965686274509803,0.8688783570300158,0.8596055291343137,0.8575213988516099,108.7936992448623,4.321388951085961,4.3,43.5,2026-02-25 20:29:39
20,634.310932,0.9013761467889908,0.9046563192904656,0.7941176470588235,0.8670886075949367,0.8606584607599028,0.8585120543386617,109.53612546590408,4.321388951085961,4.2,43.5,2026-02-25 20:40:13
21,627.054484,0.9002293577981652,0.9027932960893856,0.7941176470588235,0.8670886075949367,0.8613932394855965,0.8592308110618025,112.54233140803166,4.321388951085961,4.3,43.5,2026-02-25 20:50:40
22,628.608182,0.8990825688073395,0.9022222222222224,0.7990196078431373,0.870253164556962,0.8607551813148061,0.857888085937079,114.848077338422,4.321388951085961,4.3,43.5,2026-02-25 21:01:09
23,627.842785,0.8967889908256881,0.8993288590604027,0.803921568627451,0.8726114649681529,0.8619235980602734,0.8592557968441479,115.38021780953402,4.321388951085961,4.3,43.5,2026-02-25 21:11:36
24,636.981076,0.9025229357798163,0.9052396878483836,0.8137254901960784,0.8778135048231511,0.8632495001188942,0.8608851004582027,113.5154718428338,4.321388951085961,4.2,43.5,2026-02-25 21:22:13
25,624.513329,0.8979357798165137,0.9003359462486002,0.8137254901960784,0.8774193548387097,0.8633310625347976,0.8609653709761603,112.0603825970291,4.321388951085961,4.2,43.5,2026-02-25 21:32:38
