epoch,training_time,sst2_val_accuracy,sst2_val_f1,qqp_val_accuracy,qqp_val_f1,stsb_val_pearson,stsb_val_spearman,total_val_loss,gpu_usage,cpu_usage,memory_usage,timestamp
1,1031.462478,0.5286697247706422,0.6340160284951024,0.7254901960784313,0.7647058823529411,0.8446045572595323,0.8441860747139949,78.19783213237922,2.667126624615792,9.9,47.6,2026-02-25 23:41:12
2,985.529735,0.6754587155963303,0.5337726523887973,0.7426470588235294,0.782608695652174,0.8497689085700498,0.8490793503285399,84.21303885181744,2.667126624615792,10.0,46.8,2026-02-25 23:57:37
3,1017.087902,0.7752293577981652,0.7223796033994334,0.8063725490196079,0.8576576576576577,0.8603736677198287,0.8584116040914934,71.14194213040173,2.667126624615792,9.9,46.6,2026-02-26 00:14:34
4,854.275373,0.8256880733944955,0.8,0.7230392156862745,0.7610993657505285,0.8541027651534164,0.8502776144996054,65.80937848178048,2.667126624615792,7.6,44.5,2026-02-26 00:28:49
5,851.006509,0.8314220183486238,0.8093385214007782,0.8014705882352942,0.855098389982111,0.8524090935850449,0.8491603468256457,69.88236035701509,2.667126624615792,6.4,44.9,2026-02-26 00:43:00
6,812.041005,0.8061926605504587,0.7737617135207496,0.7794117647058824,0.8448275862068966,0.8468699636835697,0.8464582168493997,81.81637343019247,2.667126624615792,6.4,44.9,2026-02-26 00:56:32
7,811.309135,0.8348623853211009,0.816793893129771,0.7965686274509803,0.845437616387337,0.8615454825355658,0.8565492985374891,70.83086059615016,2.667126624615792,6.4,44.8,2026-02-26 01:10:03
8,841.816369,0.8337155963302753,0.8148148148148148,0.7745098039215687,0.8424657534246576,0.8562079263254853,0.8529440593978755,79.45438412740866,2.667126624615792,6.3,44.9,2026-02-26 01:24:05
9,813.771192,0.8761467889908257,0.8708133971291866,0.7916666666666666,0.8566610455311973,0.8580451964639633,0.8563161204408347,72.8142023717907,2.667126624615792,6.3,44.9,2026-02-26 01:37:38
10,824.34314,0.8727064220183486,0.8683274021352313,0.7867647058823529,0.8449197860962567,0.850765061966027,0.8508204992154104,77.21091010408418,2.667126624615792,6.4,44.9,2026-02-26 01:51:23
11,825.508797,0.8692660550458715,0.8658823529411764,0.8112745098039216,0.8612612612612612,0.8540256473901772,0.8521765250610449,77.0218726116703,2.667126624615792,6.4,44.9,2026-02-26 02:05:08
12,815.433942,0.8795871559633027,0.8821548821548821,0.7720588235294118,0.8143712574850299,0.8515800593652739,0.8485625261289171,83.69048020656192,2.667126624615792,6.4,44.9,2026-02-26 02:18:44
13,854.163067,0.8761467889908257,0.8778280542986425,0.803921568627451,0.8513011152416357,0.8468004679517204,0.8445851461634208,86.46634946822935,2.667126624615792,6.4,44.9,2026-02-26 02:32:58
14,806.500399,0.8784403669724771,0.8806306306306306,0.8137254901960784,0.8587360594795539,0.8551373954381626,0.8520838826484394,85.68353897650377,2.667126624615792,6.3,44.9,2026-02-26 02:46:24
15,816.459114,0.8853211009174312,0.8873873873873874,0.8186274509803921,0.8634686346863468,0.8538755936962034,0.8504466679969037,93.92965340786245,2.667126624615792,6.4,44.6,2026-02-26 03:00:01
16,803.193579,0.8818807339449541,0.8828213879408419,0.7916666666666666,0.8380952380952381,0.8583139456601276,0.8549648615024001,90.1720111468979,2.667126624615792,5.7,43.5,2026-02-26 03:13:24
17,611.69186,0.8864678899082569,0.8883878241262683,0.803921568627451,0.8473282442748091,0.8589416073249675,0.855697593195081,93.3179428424475,2.667126624615792,4.3,43.5,2026-02-26 03:23:36
18,628.437786,0.8772935779816514,0.881767955801105,0.8088235294117647,0.8533834586466166,0.8579913025173715,0.854783243939503,98.83152306052284,2.667126624615792,4.3,43.5,2026-02-26 03:34:04
19,603.90131,0.8818807339449541,0.8851727982162765,0.8186274509803921,0.8697183098591549,0.858349457925568,0.854475069349878,100.509404266148,2.667126624615792,4.3,43.5,2026-02-26 03:44:08
20,608.377653,0.8761467889908257,0.881578947368421,0.8333333333333334,0.8776978417266187,0.859707906873926,0.8563573464478962,100.16745423235643,2.667126624615792,4.9,43.5,2026-02-26 03:54:17
21,610.886139,0.8807339449541285,0.8854625550660793,0.8088235294117647,0.8641114982578397,0.859164873989011,0.8561493480838988,107.59325671089312,2.667126624615792,4.2,43.5,2026-02-26 04:04:27
22,607.897082,0.8841743119266054,0.8883977900552487,0.8063725490196079,0.8626086956521739,0.8558868825268806,0.8530696431143238,110.71569293155854,2.667126624615792,4.4,43.5,2026-02-26 04:14:35
23,600.0674,0.8795871559633027,0.8844884488448845,0.8137254901960784,0.8671328671328671,0.8587476001440831,0.855655388668718,109.45445675092128,2.667126624615792,4.3,43.5,2026-02-26 04:24:35
24,610.938708,0.8807339449541285,0.8857142857142857,0.8137254901960784,0.8698630136986302,0.8577644845343576,0.8542356528147603,113.017538611736,2.667126624615792,4.3,43.5,2026-02-26 04:34:46
25,611.301109,0.8795871559633027,0.8842337375964718,0.8137254901960784,0.8698630136986302,0.8581236789613155,0.8547192599096387,113.2870623988385,2.667126624615792,4.3,43.5,2026-02-26 04:44:58
