round,client_id,dataset,task_type,accuracy,precision,recall,f1_score,loss,kd_loss,task_loss,training_time,memory_usage_mb,transfer_efficiency,knowledge_retention
1,client_stsb,stsb,regression,-9.456269688998477,0.0,0.0,0.0,0.6206960649717421,0.17919856593722389,1.062193561167944,0.43227148056030273,1608.30078125,0.0,0.0
1,client_sst2,sst2,binary_classification,0.43,0.19744897959183672,0.43,0.27062937062937065,0.39464984905152095,0.06637692832875819,0.7229227735882714,0.4430403709411621,1654.1953125,0.0,0.0
1,client_qqp,qqp,binary_classification,0.5433333333333333,0.5046185382102363,0.5433333333333333,0.5079203946601754,0.36820192138353985,0.0521648625532786,0.6842389816329593,0.4695892333984375,1654.3203125,0.0,0.0
2,client_stsb,stsb,regression,-8.705586268183835,0.0,0.0,0.0,0.5724466911384037,0.17476741605926127,0.9701259789012727,0.15626788139343262,1608.30078125,0.0,0.0
2,client_sst2,sst2,binary_classification,0.43,0.19744897959183672,0.43,0.27062937062937065,0.3824176916054317,0.047077617031477746,0.7177577671550569,0.16047120094299316,1654.1953125,0.0,0.0
2,client_qqp,qqp,binary_classification,0.5466666666666666,0.41449275362318844,0.5466666666666666,0.4432748538011696,0.37213376732099623,0.05904343041280905,0.6852241044952756,0.17448806762695312,1654.3203125,0.0,0.0
3,client_sst2,sst2,binary_classification,0.4266666666666667,0.25750286368843067,0.4266666666666667,0.27463169823538935,0.37930685423669364,0.04616904604647841,0.7124446545328412,0.1617727279663086,1654.1953125,0.0,0.0
3,client_stsb,stsb,regression,-7.982509620030498,0.0,0.0,0.0,0.5434336577142987,0.1805126971254746,0.9063546288581121,0.16230511665344238,1608.30078125,0.0,0.0
3,client_qqp,qqp,binary_classification,0.5866666666666667,0.4238095238095238,0.5866666666666667,0.4493871810327506,0.3698290160724095,0.05820687199454932,0.6814511588641575,0.17603635787963867,1654.4453125,0.0,0.0
4,client_stsb,stsb,regression,-7.27867669840094,0.0,0.0,0.0,0.4976285837945484,0.15346523746848106,0.8417919306528001,0.17226552963256836,1608.30078125,0.0,0.0
4,client_sst2,sst2,binary_classification,0.42333333333333334,0.3899947478991597,0.42333333333333334,0.3157171773752085,0.3857672143550146,0.05908811660039993,0.7124463064329964,0.17267775535583496,1654.1953125,0.0,0.0
