epoch,training_time,sst2_val_accuracy,sst2_val_f1,qqp_val_accuracy,qqp_val_f1,stsb_val_pearson,stsb_val_spearman,total_val_loss,gpu_usage,cpu_usage,memory_usage,timestamp
1,391.519371,0.4908256880733945,0.0,0.3700980392156863,0.19937694704049844,-0.05825852357214924,-0.04936100768130186,200.27439223726591,0.3440421318724937,10.4,45.3,2026-02-26 07:29:42
2,388.827062,0.5194954128440367,0.10660980810234541,0.6470588235294118,0.7352941176470589,0.11656178309440383,0.10336323849998214,210.30838346481323,0.3440421318724937,10.7,45.9,2026-02-26 07:36:11
3,384.339685,0.606651376146789,0.37294332723948814,0.6617647058823529,0.7517985611510791,0.1643713622182471,0.14452187553680051,205.50323775410652,0.3440421318724937,10.9,46.5,2026-02-26 07:42:35
4,383.598804,0.6720183486238532,0.5357142857142857,0.6274509803921569,0.7132075471698113,0.4039144798718962,0.3835194760737498,173.68954445949444,0.3440421318724937,11.1,46.8,2026-02-26 07:48:58
5,391.186098,0.7144495412844036,0.622154779969651,0.6446078431372549,0.7279549718574109,0.5626067240483825,0.5551070338374119,143.86373060693344,0.3440421318724937,11.0,46.6,2026-02-26 07:55:30
6,385.008089,0.7224770642201835,0.6377245508982036,0.6470588235294118,0.7272727272727273,0.5856866662041401,0.5779127790929948,145.40367560771605,0.3440421318724937,10.9,46.9,2026-02-26 08:01:55
7,360.919766,0.7385321100917431,0.6705202312138728,0.6666666666666666,0.7424242424242424,0.6215797413900063,0.616809551453099,136.25230973027647,0.3440421318724937,7.7,44.1,2026-02-26 08:07:56
8,360.948755,0.7477064220183486,0.6829971181556196,0.6544117647058824,0.7293666026871402,0.6356119114635337,0.6303110429650269,134.4789093406871,0.3440421318724937,7.2,44.8,2026-02-26 08:13:57
9,357.556279,0.7901376146788991,0.7638709677419355,0.6911764705882353,0.776595744680851,0.6352415719287348,0.6314230455108027,129.89216957753524,0.3440421318724937,7.1,44.8,2026-02-26 08:19:54
10,357.828463,0.7740825688073395,0.7355704697986577,0.6642156862745098,0.7429643527204502,0.6474476771747455,0.6425823112091291,133.43020583906522,0.3440421318724937,7.2,44.8,2026-02-26 08:25:52
11,358.107118,0.7809633027522935,0.7529107373868047,0.6666666666666666,0.746268656716418,0.6351681687828395,0.6301142972778241,135.76770683610812,0.3440421318724937,7.1,44.7,2026-02-26 08:31:50
12,362.981534,0.7993119266055045,0.7820672478206725,0.6936274509803921,0.7747747747747747,0.6173981473327642,0.6122161479313535,139.41357813302116,0.3440421318724937,7.3,44.4,2026-02-26 08:37:53
13,362.335232,0.801605504587156,0.7861557478368356,0.696078431372549,0.7793594306049823,0.6264109290292196,0.6219065051439665,135.36939676369852,0.3440421318724937,7.2,44.7,2026-02-26 08:43:55
14,366.836531,0.8038990825688074,0.788627935723115,0.7107843137254902,0.7993197278911565,0.6204331372877204,0.6171981922903539,141.4475858459094,0.3440421318724937,5.2,43.5,2026-02-26 08:50:02
15,365.289084,0.8096330275229358,0.8,0.7132352941176471,0.8026981450252951,0.611032068333365,0.6083224335039483,144.73879719983475,0.3440421318724937,5.2,43.5,2026-02-26 08:56:08
16,364.296716,0.8107798165137615,0.8023952095808383,0.7132352941176471,0.8,0.615943553456877,0.6123831533845355,144.07752202493916,0.3440421318724937,4.4,43.5,2026-02-26 09:02:12
17,365.424262,0.8096330275229358,0.8065268065268065,0.7205882352941176,0.8093645484949833,0.6101355982264249,0.6079329207799717,146.62891730404226,0.3440421318724937,4.4,43.5,2026-02-26 09:08:17
18,366.792105,0.8130733944954128,0.809801633605601,0.7205882352941176,0.81,0.613890489502507,0.6120766015718299,147.06861146029163,0.3440421318724937,4.5,43.5,2026-02-26 09:14:24
19,361.271247,0.8142201834862385,0.815068493150685,0.7230392156862745,0.8100840336134454,0.6095606270988958,0.6074308101136214,150.59569142066175,0.3440421318724937,4.5,43.5,2026-02-26 09:20:25
20,364.26673,0.8130733944954128,0.814139110604333,0.7107843137254902,0.8006756756756757,0.6065975866110017,0.6044369913242377,152.18679987631427,0.3440421318724937,4.3,43.5,2026-02-26 09:26:30
21,363.027939,0.8188073394495413,0.8200455580865603,0.7058823529411765,0.7966101694915254,0.605884734148798,0.6036254961030159,152.2185706345093,0.3440421318724937,4.3,43.5,2026-02-26 09:32:33
22,363.248619,0.819954128440367,0.8241881298992161,0.7058823529411765,0.7959183673469388,0.6097117360614934,0.6089952079889915,153.56132672758153,0.3440421318724937,4.3,43.5,2026-02-26 09:38:36
23,364.935399,0.8211009174311926,0.8262806236080178,0.7083333333333334,0.797274275979557,0.6103061072364169,0.608886277308932,154.33813432626388,0.3440421318724937,4.6,43.5,2026-02-26 09:44:41
24,368.652086,0.8176605504587156,0.8239202657807309,0.7034313725490197,0.7895652173913044,0.6098218139895064,0.6076264098925612,155.4359146139565,0.3440421318724937,4.7,43.6,2026-02-26 09:50:49
25,368.352548,0.8176605504587156,0.824696802646086,0.6985294117647058,0.783068783068783,0.6105968922318368,0.6080843016672248,156.569791096185,0.3440421318724937,5.3,43.5,2026-02-26 09:56:58
