num_clients,round_num,average_accuracy,accuracy_std,worst_client_accuracy,best_client_accuracy,average_precision,precision_std,average_recall,recall_std,average_f1_score,f1_score_std,total_communication_time,average_client_latency,aggregation_time,memory_usage_mb,cpu_utilization,throughput_samples_per_sec
2,1,-0.01904771142906797,0.6170133609204804,-0.6360610723495483,0.5979656494914124,0.6612029811184221,0.03646244203640875,0.30477604510926354,0.29318960438214886,0.4394944349226718,0.06379342426563095,5.82384729385376,2.772355556488037,0.016203641891479492,1663.3515625,93.7,686.6578855246621
3,2,0.40711959429695266,0.35909684725715774,0.04802274703979492,0.7662164415541104,0.7621412580836999,0.0029933905233132663,0.5038382557840552,0.26237818577005523,0.5254785547903763,0.23889194485871415,5.871521949768066,2.575043559074402,0.013776779174804688,1776.14453125,93.8,681.0826205384334
3,3,0.5266184436394331,0.29807277022552403,0.13263171911239624,0.8534267133566783,0.7232333924388619,0.1321426772874993,0.6049093034976281,0.19853255388655552,0.5510401803870523,0.23744517005780316,7.482970476150513,3.666464646657308,0.020335674285888672,2182.2421875,94.5,801.5519382775225
3,4,0.6190385384475082,0.2509235519754213,0.28716397285461426,0.8937802234450558,0.7862984951271287,0.09291534007223856,0.7021615269894292,0.1469989114176576,0.5992048548155059,0.26668858633411113,7.288342237472534,3.578531583150228,0.019355297088623047,2309.49609375,93.7,822.9566347927102
3,5,0.7129454099113565,0.1934853319766932,0.4553278088569641,0.9216274804068701,0.8358610163682734,0.06674606015321446,0.7863356950854085,0.10195873278691986,0.6328140848337637,0.30150828133218194,7.444178819656372,3.6732088724772134,0.019240617752075195,2398.80859375,93.7,805.7287966433939
3,6,0.7704773988183599,0.17243831541737892,0.5353775024414062,0.944138736034684,0.8729713893374754,0.05064738657345878,0.8361908441639206,0.08644673527510209,0.6588103645331137,0.3274947722424984,7.779083967208862,3.6819349924723306,0.02040386199951172,2487.87109375,94.3,771.0407120042528
3,7,0.8147574378904628,0.1499095303408829,0.6068536043167114,0.9546439886609972,0.8979742799077001,0.0417765622173385,0.8723700159646003,0.07180204665857925,0.6739902601029377,0.34758419025899734,7.614636182785034,3.6561667124430337,0.01921558380126953,2581.3828125,93.8,787.6923175575291
3,8,0.8408545435823346,0.13890913549149245,0.6467924118041992,0.9643154910788728,0.9133250555304989,0.04102029300977436,0.8935899119930809,0.06625639635566177,0.6834874141302691,0.36050601337802196,7.855810165405273,3.6742316087086997,0.019070148468017578,2717.0703125,93.8,763.5100701038036
3,9,0.8644187439674732,0.12438294310363797,0.6903047561645508,0.9731532432883109,0.9256908901834833,0.04077968039540443,0.9115126718277332,0.05922304834801692,0.6888586134663165,0.3719316188048302,7.5693581104278564,3.677166302998861,0.019077777862548828,2782.06640625,93.8,792.4041201781301
3,10,0.8806832658595848,0.11616630571275928,0.7174208164215088,0.9781557445389362,0.9346195832272916,0.0413926934318365,0.9240596122887738,0.05562524885906045,0.6936183370106282,0.38027383133026527,7.782011270523071,3.646991491317749,0.01983642578125,2871.3203125,93.7,770.7506992303839
3,11,0.895864142325196,0.10490901693147228,0.7481226921081543,0.9814907453726863,0.94151240485855,0.04118823504335942,0.9349428349203599,0.05013087701438701,0.6956503508727147,0.38778028037429657,7.572735786437988,3.641687552134196,0.019205331802368164,2960.56640625,93.7,792.0508334382793
3,12,0.903361279785146,0.10086565343300988,0.7611093521118164,0.983658495914624,0.9462270607889955,0.04071867902358359,0.9406601975555318,0.04842120062761029,0.6975229973928054,0.39178030382160306,7.476224422454834,3.641011397043864,0.019255399703979492,3058.4296875,93.7,802.2753071511288
3,13,0.9142079158029656,0.09069005510639924,0.7861455082893372,0.984325496081374,0.9501349223847497,0.04010406572727057,0.9478773279390434,0.04322467775415383,0.6974449022741611,0.3971513459387911,7.238611221313477,3.567029078801473,0.018917560577392578,3147.671875,93.8,828.6107823923998
3,14,0.9216921029271905,0.08595616213217085,0.8004273176193237,0.9896614974153743,0.9543599151111861,0.0400296865082894,0.9532574114980523,0.04154128650866791,0.6986276005923141,0.4012638911941633,7.311777830123901,3.594597657521566,0.01948857307434082,3237.7421875,93.9,820.3189387355908
3,15,0.9269547683475321,0.08037589639625956,0.8135473132133484,0.9903284975821244,0.9564467598343415,0.03892608197027258,0.956574104475767,0.03868834192263563,0.6980576566815717,0.4039545379882142,7.581595182418823,3.6623173554738364,0.02092146873474121,3333.46875,93.8,791.1250429840732
3,16,0.932569825366329,0.07821988838199126,0.8220549821853638,0.9919959979989995,0.9601974072601062,0.03923916117686965,0.9609029131285259,0.03822859088468268,0.6998555734057873,0.4072734232896747,7.414614200592041,3.626011848449707,0.019593477249145508,3420.67578125,93.7,808.941586952127
3,17,0.9364496830418697,0.07520896888618132,0.8301928043365479,0.9936634984158746,0.962017766011428,0.039132491204378415,0.9635625047797949,0.036942544370632394,0.7000668589528338,0.409449022828983,7.792191028594971,3.6667592525482178,0.019609928131103516,3514.16015625,94.4,769.743741056286
3,18,0.9410325972249778,0.0706191262594154,0.8412735462188721,0.9949974987493747,0.9638671005089097,0.0383997061202759,0.9664566802989117,0.03474570755693071,0.6996165160346798,0.4119700791836468,7.508197069168091,3.654255469640096,0.01921367645263672,3603.546875,94.4,798.8588551623816
3,19,0.9461139733938052,0.06631322473492768,0.8523489236831665,0.9944972486243121,0.9661021746813986,0.038060880476296674,0.9698281382866377,0.03278791405119398,0.6996202198822604,0.41490010719041764,7.7110207080841064,3.8001043796539307,0.019570589065551758,3699.3828125,95.6,777.8463891741437
3,20,0.9477753533800716,0.06339793927886991,0.8581668138504028,0.9951642487910622,0.9665828221633106,0.036824203259674754,0.9706046873212134,0.031148822375781617,0.698592406704111,0.415765016974606,7.73317551612854,3.691155195236206,0.02014303207397461,3788.62109375,94.4,775.6179853562825
3,21,0.9516632375228955,0.05919675748510782,0.8679962158203125,0.9959979989994997,0.9682528943185265,0.0357652850753872,0.9729559239852978,0.029120813340474998,0.6979045992249221,0.41803735460267916,7.724428653717041,3.671757221221924,0.0193631649017334,3884.1171875,93.8,776.4965051934578
3,22,0.9516172824875468,0.05981919673241588,0.8670246005058289,0.9946639986659996,0.9684358665823148,0.036050971814946035,0.9730598944997743,0.02949798976048839,0.6983136097880357,0.4180448405337544,7.387111186981201,3.6287960211435952,0.019450664520263672,3970.37109375,95.7,811.9533063762744
