client_id,round_num,participated,participation_rate,consecutive_participations,total_participations,data_samples,data_distribution,data_heterogeneity_score,local_accuracy,local_precision,local_recall,local_f1_score,local_loss,contribution_weight,per_class_precision,per_class_recall,per_class_f1,confusion_matrix_flat,upload_time,download_time,parameter_size_bytes
no_lora_client_1,1,True,1.0,1,1,1999,"{""class_0"": 853, ""class_1"": 1146}",0.6933972743464183,0.5979656494914124,0.6247405390820134,0.5979656494914124,0.5032878591883028,0.6604008142153422,1999,"{'0': 0.6681818181818182, '1': 0.5924059744466439}","{'0': 0.11488862837045721, '1': 0.9575334496800465}","{'0': 0.19606535511837278, '1': 0.7319622012229016}","[294, 2265, 146, 3292]",2.7659645080566406,0.0,15890432
no_lora_client_3,1,True,1.0,1,1,2000,"{""bin_00_0.0-0.1"": 200, ""bin_01_0.1-0.2"": 200, ""bin_02_0.2-0.3"": 218, ""bin_03_0.3-0.4"": 182, ""bin_04_0.4-0.5"": 200, ""bin_05_0.5-0.6"": 279, ""bin_06_0.6-0.7"": 141, ""bin_07_0.7-0.8"": 180, ""bin_08_0.8-0.9"": 200, ""bin_09_0.9-1.0"": 200}",0.692897149304736,-0.6360610723495483,0.6976654231548309,0.011586440727114677,0.37570101065704087,0.14115124783913294,2000,"{'mse': 0.14115124940872192, 'rmse': 0.37570101065704087, 'mae': 0.30233457684516907}","{'r2': -0.6360610723495483, 'pearson': 0.011586440727114677}",{},[],2.7787466049194336,0.0,15890432
no_lora_client_3,2,True,1.0,2,2,2000,"{""bin_00_0.0-0.1"": 200, ""bin_01_0.1-0.2"": 200, ""bin_02_0.2-0.3"": 218, ""bin_03_0.3-0.4"": 182, ""bin_04_0.4-0.5"": 200, ""bin_05_0.5-0.6"": 279, ""bin_06_0.6-0.7"": 141, ""bin_07_0.7-0.8"": 180, ""bin_08_0.8-0.9"": 200, ""bin_09_0.9-1.0"": 200}",1.098278899766872,0.04802274703979492,0.7591478675603867,0.24146007001399994,0.28658660993166213,0.08213188239435355,2000,"{'mse': 0.08213188499212265, 'rmse': 0.28658660993166213, 'mae': 0.24085213243961334}","{'r2': 0.04802274703979492, 'pearson': 0.24146007001399994}",{},[],2.5721046924591064,0.0,15890432
no_lora_client_1,2,True,1.0,2,2,1999,"{""class_0"": 853, ""class_1"": 1146}",0.4231765671997141,0.7662164415541104,0.7651346486070132,0.7662164415541104,0.7643704996490904,0.5222856529951095,1999,"{'0': 0.7498920086393088, '1': 0.7764801738185768}","{'0': 0.6783899960922235, '1': 0.8315881326352531}","{'0': 0.7123512515387772, '1': 0.8030898876404494}","[1736, 823, 579, 2859]",2.5779824256896973,0.0,15890432
no_lora_client_3,3,True,1.0,3,3,2000,"{""bin_00_0.0-0.1"": 200, ""bin_01_0.1-0.2"": 200, ""bin_02_0.2-0.3"": 218, ""bin_03_0.3-0.4"": 182, ""bin_04_0.4-0.5"": 200, ""bin_05_0.5-0.6"": 279, ""bin_06_0.6-0.7"": 141, ""bin_07_0.7-0.8"": 180, ""bin_08_0.8-0.9"": 200, ""bin_09_0.9-1.0"": 200}",1.098278899766872,0.13263171911239624,0.7738031148910522,0.3675042986869812,0.27355481764525974,0.07483223259945711,2000,"{'mse': 0.0748322382569313, 'rmse': 0.27355481764525974, 'mae': 0.22619688510894775}","{'r2': 0.13263171911239624, 'pearson': 0.3675042986869812}",{},[],3.5618231296539307,0.0,15890432
no_lora_client_1,3,True,1.0,3,3,1999,"{""class_0"": 853, ""class_1"": 1146}",0.4231765671997141,0.8534267133566783,0.8537514776527926,0.8534267133566783,0.8535562364978936,0.36161226749420167,1999,"{'0': 0.8235747303543913, '1': 0.8762128785651279}","{'0': 0.8354826103946854, '1': 0.8667830133798721}","{'0': 0.8294859359844811, '1': 0.8714724374908612}","[2138, 421, 458, 2980]",3.619929552078247,0.0,15890432
no_lora_client_2,3,True,0.3333333333333333,1,1,1999,"{""class_0"": 1227, ""class_1"": 772}",0.4233579048385255,0.5937968984492246,0.5421455847727407,0.5937968984492246,0.5260094870180035,0.6631823105812072,1999,"{'0': 0.618729734884608, '1': 0.4204244031830239}","{'0': 0.8812822602553654, '1': 0.13687392055267703}","{'0': 0.7270282384580905, '1': 0.206514657980456}","[3244, 437, 1999, 317]",3.817641258239746,0.0,15890432
no_lora_client_3,4,True,1.0,4,4,2000,"{""bin_00_0.0-0.1"": 200, ""bin_01_0.1-0.2"": 200, ""bin_02_0.2-0.3"": 218, ""bin_03_0.3-0.4"": 182, ""bin_04_0.4-0.5"": 200, ""bin_05_0.5-0.6"": 279, ""bin_06_0.6-0.7"": 141, ""bin_07_0.7-0.8"": 180, ""bin_08_0.8-0.9"": 200, ""bin_09_0.9-1.0"": 200}",1.098278899766872,0.28716397285461426,0.7976911962032318,0.5365329384803772,0.24799185615769542,0.06149996142586072,2000,"{'mse': 0.06149996072053909, 'rmse': 0.24799185615769542, 'mae': 0.2023088037967682}","{'r2': 0.28716397285461426, 'pearson': 0.5365329384803772}",{},[],3.3596341609954834,0.0,15890432
no_lora_client_1,4,True,1.0,4,4,1999,"{""class_0"": 853, ""class_1"": 1146}",0.4231765671997141,0.8937802234450558,0.8939712118109279,0.8937802234450558,0.8938545198519459,0.26631859749555586,1999,"{'0': 0.8713292117465224, '1': 0.9108242886476973}","{'0': 0.8812035951543572, '1': 0.9031413612565445}","{'0': 0.8762385855838353, '1': 0.906966554695487}","[2255, 304, 333, 3105]",3.686225414276123,0.0,15890432
no_lora_client_2,4,True,0.5,2,2,1999,"{""class_0"": 1227, ""class_1"": 772}",0.4233579048385255,0.6761714190428547,0.6672330773672263,0.6761714190428547,0.6557681884368766,0.5934936437606811,1999,"{'0': 0.690972984845157, '1': 0.6295013850415513}","{'0': 0.8546590600380332, '1': 0.39248704663212436}","{'0': 0.7641486519310178, '1': 0.48351063829787233}","[3146, 535, 1407, 909]",3.689735174179077,0.0,15890432
no_lora_client_3,5,True,1.0,5,5,2000,"{""bin_00_0.0-0.1"": 200, ""bin_01_0.1-0.2"": 200, ""bin_02_0.2-0.3"": 218, ""bin_03_0.3-0.4"": 182, ""bin_04_0.4-0.5"": 200, ""bin_05_0.5-0.6"": 279, ""bin_06_0.6-0.7"": 141, ""bin_07_0.7-0.8"": 180, ""bin_08_0.8-0.9"": 200, ""bin_09_0.9-1.0"": 200}",1.098278899766872,0.4553278088569641,0.8261889219284058,0.6754986643791199,0.21677549789471837,0.04699161281436682,2000,"{'mse': 0.04699161648750305, 'rmse': 0.21677549789471837, 'mae': 0.17381107807159424}","{'r2': 0.4553278088569641, 'pearson': 0.6754986643791199}",{},[],3.540501594543457,0.0,15890432
no_lora_client_2,5,True,0.6,3,3,1999,"{""class_0"": 1227, ""class_1"": 772}",0.4233579048385255,0.7618809404702351,0.7593804431418033,0.7618809404702351,0.7599335253914846,0.5001564840873083,1999,"{'0': 0.7919150038870174, '1': 0.7076707202993452}","{'0': 0.8302091822874219, '1': 0.6532815198618307}","{'0': 0.8106100795755968, '1': 0.6793893129770993}","[3056, 625, 803, 1513]",3.725613594055176,0.0,15890432
no_lora_client_1,5,True,1.0,5,5,1999,"{""class_0"": 853, ""class_1"": 1146}",0.4231765671997141,0.9216274804068701,0.9220136840346109,0.9216274804068701,0.921733231215088,0.2122056212723255,1999,"{'0': 0.8991211310661062, '1': 0.9390532544378698}","{'0': 0.9194998046111762, '1': 0.9232111692844677}","{'0': 0.9091962905718701, '1': 0.9310648283954239}","[2353, 206, 264, 3174]",3.753511428833008,0.0,15890432
no_lora_client_3,6,True,1.0,5,6,2000,"{""bin_00_0.0-0.1"": 200, ""bin_01_0.1-0.2"": 200, ""bin_02_0.2-0.3"": 218, ""bin_03_0.3-0.4"": 182, ""bin_04_0.4-0.5"": 200, ""bin_05_0.5-0.6"": 279, ""bin_06_0.6-0.7"": 141, ""bin_07_0.7-0.8"": 180, ""bin_08_0.8-0.9"": 200, ""bin_09_0.9-1.0"": 200}",1.098278899766872,0.5353775024414062,0.8424223065376282,0.7325178384780884,0.20021320356114528,0.04008532683302959,2000,"{'mse': 0.0400853268802166, 'rmse': 0.20021320356114528, 'mae': 0.15757769346237183}","{'r2': 0.5353775024414062, 'pearson': 0.7325178384780884}",{},[],3.681095600128174,0.0,15890432
no_lora_client_1,6,True,1.0,5,6,1999,"{""class_0"": 853, ""class_1"": 1146}",0.4231765671997141,0.944138736034684,0.9443512050451514,0.944138736034684,0.9441956790173145,0.1579148723433415,1999,"{'0': 0.9273635664873174, '1': 0.9569955817378498}","{'0': 0.9429464634622899, '1': 0.9450261780104712}","{'0': 0.9350900988180585, '1': 0.9509732182057661}","[2413, 146, 189, 3249]",3.6754791736602783,0.0,15890432
no_lora_client_2,6,True,0.6666666666666666,4,4,1999,"{""class_0"": 1227, ""class_1"": 772}",0.4233579048385255,0.8319159579789895,0.8321406564296471,0.8319159579789895,0.8320222110208813,0.3920181605418523,1999,"{'0': 0.8646657571623465, '1': 0.7804459691252144}","{'0': 0.860907362129856, '1': 0.7858376511226253}","{'0': 0.8627824666485162, '1': 0.7831325301204819}","[3169, 512, 496, 1820]",3.68923020362854,0.0,15890432
no_lora_client_3,7,True,1.0,5,7,2000,"{""bin_00_0.0-0.1"": 200, ""bin_01_0.1-0.2"": 200, ""bin_02_0.2-0.3"": 218, ""bin_03_0.3-0.4"": 182, ""bin_04_0.4-0.5"": 200, ""bin_05_0.5-0.6"": 279, ""bin_06_0.6-0.7"": 141, ""bin_07_0.7-0.8"": 180, ""bin_08_0.8-0.9"": 200, ""bin_09_0.9-1.0"": 200}",1.098278899766872,0.6068536043167114,0.8553781509399414,0.7796913385391235,0.1841703653251851,0.033918724780281385,2000,"{'mse': 0.033918723464012146, 'rmse': 0.1841703653251851, 'mae': 0.1446218490600586}","{'r2': 0.6068536043167114, 'pearson': 0.7796913385391235}",{},[],3.6142680644989014,0.0,15890432
no_lora_client_1,7,True,1.0,5,7,1999,"{""class_0"": 853, ""class_1"": 1146}",0.4231765671997141,0.9546439886609972,0.9547279373744966,0.9546439886609972,0.9546704044012216,0.12761302656928697,1999,"{'0': 0.9427022841656988, '1': 0.9636789689513767}","{'0': 0.9515435717076983, '1': 0.9569517161140197}","{'0': 0.9471022948269155, '1': 0.9603035610040864}","[2435, 124, 148, 3290]",3.67425537109375,0.0,15890432
no_lora_client_2,7,True,0.7142857142857143,5,5,1999,"{""class_0"": 1227, ""class_1"": 772}",0.4233579048385255,0.8827747206936801,0.8838167514086622,0.8827747206936801,0.8831300105824065,0.30729208860794704,1999,"{'0': 0.9136111111111112, '1': 0.836462244472257}","{'0': 0.893507199130671, '1': 0.8657167530224525}","{'0': 0.9034473286636451, '1': 0.850838107362614}","[3289, 392, 311, 2005]",3.67997670173645,0.0,15890432
no_lora_client_1,8,True,1.0,5,8,1999,"{""class_0"": 853, ""class_1"": 1146}",0.4231765671997141,0.9643154910788728,0.9643280793329502,0.9643154910788728,0.9643208008935114,0.10562448999037345,1999,"{'0': 0.9571150097465887, '1': 0.9696969696969697}","{'0': 0.9593591246580696, '1': 0.9680046538685282}","{'0': 0.9582357533177205, '1': 0.9688500727802037}","[2455, 104, 110, 3328]",3.686328649520874,0.0,15890432
no_lora_client_2,8,True,0.75,5,6,1999,"{""class_0"": 1227, ""class_1"": 772}",0.4233579048385255,0.9114557278639319,0.911761282247751,0.9114557278639319,0.9115762636945952,0.23929835467537244,1999,"{'0': 0.931980252331322, '1': 0.879625691195236}","{'0': 0.9231187177397446, '1': 0.8929188255613126}","{'0': 0.9275283199126518, '1': 0.8862224126848083}","[3398, 283, 248, 2068]",3.704913377761841,0.0,15890432
no_lora_client_3,8,True,1.0,5,8,2000,"{""bin_00_0.0-0.1"": 200, ""bin_01_0.1-0.2"": 200, ""bin_02_0.2-0.3"": 218, ""bin_03_0.3-0.4"": 182, ""bin_04_0.4-0.5"": 200, ""bin_05_0.5-0.6"": 279, ""bin_06_0.6-0.7"": 141, ""bin_07_0.7-0.8"": 180, ""bin_08_0.8-0.9"": 200, ""bin_09_0.9-1.0"": 200}",1.098278899766872,0.6467924118041992,0.8638858050107956,0.804998517036438,0.17456517780270098,0.030473004239300886,2000,"{'mse': 0.030473001301288605, 'rmse': 0.17456517780270098, 'mae': 0.1361141949892044}","{'r2': 0.6467924118041992, 'pearson': 0.804998517036438}",{},[],3.631452798843384,0.0,15890432
no_lora_client_1,9,True,1.0,5,9,1999,"{""class_0"": 853, ""class_1"": 1146}",0.4231765671997141,0.9731532432883109,0.9731577493917251,0.9731532432883109,0.9731552478345025,0.0829010592897733,1999,"{'0': 0.9679937548790007, '1': 0.9770014556040757}","{'0': 0.9691285658460336, '1': 0.9761489237929029}","{'0': 0.9685608279632885, '1': 0.9765750036374218}","[2480, 79, 82, 3356]",3.66788387298584,0.0,15890432
no_lora_client_2,9,True,0.7777777777777778,5,7,1999,"{""class_0"": 1227, ""class_1"": 772}",0.4233579048385255,0.9297982324495581,0.9303237514437972,0.9297982324495581,0.9299612080428659,0.18699115245540937,1999,"{'0': 0.9502762430939227, '1': 0.8986116954143879}","{'0': 0.9345286606900299, '1': 0.9222797927461139}","{'0': 0.9423366662101083, '1': 0.9102919241423396}","[3440, 241, 180, 2136]",3.6875081062316895,0.0,15890432
no_lora_client_3,9,True,1.0,5,9,2000,"{""bin_00_0.0-0.1"": 200, ""bin_01_0.1-0.2"": 200, ""bin_02_0.2-0.3"": 218, ""bin_03_0.3-0.4"": 182, ""bin_04_0.4-0.5"": 200, ""bin_05_0.5-0.6"": 279, ""bin_06_0.6-0.7"": 141, ""bin_07_0.7-0.8"": 180, ""bin_08_0.8-0.9"": 200, ""bin_09_0.9-1.0"": 200}",1.098278899766872,0.6903047561645508,0.8735911697149277,0.8315865397453308,0.16345938452158096,0.026718972430874902,2000,"{'mse': 0.026718970388174057, 'rmse': 0.16345938452158096, 'mae': 0.12640883028507233}","{'r2': 0.6903047561645508, 'pearson': 0.8315865397453308}",{},[],3.6761069297790527,0.0,15890432
no_lora_client_3,10,True,1.0,5,10,2000,"{""bin_00_0.0-0.1"": 200, ""bin_01_0.1-0.2"": 200, ""bin_02_0.2-0.3"": 218, ""bin_03_0.3-0.4"": 182, ""bin_04_0.4-0.5"": 200, ""bin_05_0.5-0.6"": 279, ""bin_06_0.6-0.7"": 141, ""bin_07_0.7-0.8"": 180, ""bin_08_0.8-0.9"": 200, ""bin_09_0.9-1.0"": 200}",1.098278899766872,0.7174208164215088,0.8789639472961426,0.8475498557090759,0.15613946581253427,0.024379532992839813,2000,"{'mse': 0.024379532784223557, 'rmse': 0.15613946581253427, 'mae': 0.12103605270385742}","{'r2': 0.7174208164215088, 'pearson': 0.8475498557090759}",{},[],3.6350815296173096,0.0,15890432
no_lora_client_1,10,True,1.0,5,10,1999,"{""class_0"": 853, ""class_1"": 1146}",0.4231765671997141,0.9781557445389362,0.9781595062758124,0.9781557445389362,0.9781573755672038,0.06955570569013556,1999,"{'0': 0.9738485558157689, '1': 0.9813682678311499}","{'0': 0.9749902305588121, '1': 0.9805119255381035}","{'0': 0.9744190587775825, '1': 0.9809399097919395}","[2495, 64, 67, 3371]",3.6443629264831543,0.0,15890432
no_lora_client_2,10,True,0.8,5,8,1999,"{""class_0"": 1227, ""class_1"": 772}",0.4233579048385255,0.9464732366183092,0.9467352961099198,0.9464732366183092,0.9465581696521468,0.14946770723164082,1999,"{'0': 0.9615384615384616, '1': 0.9232074671192193}","{'0': 0.9508285791904374, '1': 0.9395509499136442}","{'0': 0.9561535309383964, '1': 0.9313075112347529}","[3500, 181, 140, 2176]",3.661530017852783,0.0,15890432
no_lora_client_3,11,True,1.0,5,11,2000,"{""bin_00_0.0-0.1"": 200, ""bin_01_0.1-0.2"": 200, ""bin_02_0.2-0.3"": 218, ""bin_03_0.3-0.4"": 182, ""bin_04_0.4-0.5"": 200, ""bin_05_0.5-0.6"": 279, ""bin_06_0.6-0.7"": 141, ""bin_07_0.7-0.8"": 180, ""bin_08_0.8-0.9"": 200, ""bin_09_0.9-1.0"": 200}",1.098278899766872,0.7481226921081543,0.884842038154602,0.8653587698936462,0.14741344824047428,0.02173072598253687,2000,"{'mse': 0.021730724722146988, 'rmse': 0.14741344824047428, 'mae': 0.11515796184539795}","{'r2': 0.7481226921081543, 'pearson': 0.8653587698936462}",{},[],3.585869073867798,0.0,15890432
no_lora_client_1,11,True,1.0,5,11,1999,"{""class_0"": 853, ""class_1"": 1146}",0.4231765671997141,0.9814907453726863,0.981511987561137,0.9814907453726863,0.9814966628167419,0.05581835069383184,1999,"{'0': 0.9758942457231726, '1': 0.9856934306569343}","{'0': 0.9808518952715904, '1': 0.9819662594531704}","{'0': 0.9783667900993959, '1': 0.9838263150225849}","[2510, 49, 62, 3376]",3.661879539489746,0.0,15890432
no_lora_client_2,11,True,0.8181818181818182,5,9,1999,"{""class_0"": 1227, ""class_1"": 772}",0.4233579048385255,0.9579789894947474,0.9581831888599109,0.9579789894947474,0.9580409415609279,0.11602333826820056,1999,"{'0': 0.9706286027998902, '1': 0.9384027187765506}","{'0': 0.9606085302906818, '1': 0.9537996545768567}","{'0': 0.965592572364828, '1': 0.9460385438972163}","[3536, 145, 107, 2209]",3.677314043045044,0.0,15890432
no_lora_client_3,12,True,1.0,5,12,2000,"{""bin_00_0.0-0.1"": 200, ""bin_01_0.1-0.2"": 200, ""bin_02_0.2-0.3"": 218, ""bin_03_0.3-0.4"": 182, ""bin_04_0.4-0.5"": 200, ""bin_05_0.5-0.6"": 279, ""bin_06_0.6-0.7"": 141, ""bin_07_0.7-0.8"": 180, ""bin_08_0.8-0.9"": 200, ""bin_09_0.9-1.0"": 200}",1.098278899766872,0.7611093521118164,0.8896153494715691,0.8730061054229736,0.14356288108019474,0.02061029936745763,2000,"{'mse': 0.020610300824046135, 'rmse': 0.14356288108019474, 'mae': 0.11038465052843094}","{'r2': 0.7611093521118164, 'pearson': 0.8730061054229736}",{},[],3.5428760051727295,0.0,15890432
no_lora_client_1,12,True,1.0,5,12,1999,"{""class_0"": 853, ""class_1"": 1146}",0.4231765671997141,0.983658495914624,0.9836626392486878,0.983658495914624,0.9836601208546866,0.04995163401216268,1999,"{'0': 0.9801014436207569, '1': 0.9863133372160745}","{'0': 0.9816334505666275, '1': 0.9851657940663177}","{'0': 0.9808668488871535, '1': 0.9857392316647264}","[2512, 47, 51, 3387]",3.6767210960388184,0.0,15890432
no_lora_client_2,12,True,0.8333333333333334,5,10,1999,"{""class_0"": 1227, ""class_1"": 772}",0.4233579048385255,0.9653159913289978,0.9654031936467297,0.9653159913289978,0.965345990243535,0.10049911316732565,1999,"{'0': 0.9745832194588685, '1': 0.9508126603934988}","{'0': 0.9687584895408856, '1': 0.9598445595854922}","{'0': 0.9716621253405995, '1': 0.9553072625698324}","[3566, 115, 93, 2223]",3.703437089920044,0.0,15890432
no_lora_client_3,13,True,1.0,5,13,2000,"{""bin_00_0.0-0.1"": 200, ""bin_01_0.1-0.2"": 200, ""bin_02_0.2-0.3"": 218, ""bin_03_0.3-0.4"": 182, ""bin_04_0.4-0.5"": 200, ""bin_05_0.5-0.6"": 279, ""bin_06_0.6-0.7"": 141, ""bin_07_0.7-0.8"": 180, ""bin_08_0.8-0.9"": 200, ""bin_09_0.9-1.0"": 200}",1.098278899766872,0.7861455082893372,0.8938515111804008,0.8871537446975708,0.13583189929408002,0.018450305752456188,2000,"{'mse': 0.018450304865837097, 'rmse': 0.13583189929408002, 'mae': 0.10614848881959915}","{'r2': 0.7861455082893372, 'pearson': 0.8871537446975708}",{},[],3.346920967102051,0.0,15890432
no_lora_client_1,13,True,1.0,5,13,1999,"{""class_0"": 853, ""class_1"": 1146}",0.4231765671997141,0.984325496081374,0.9843295073998554,0.984325496081374,0.9843270546973525,0.045975190943727894,1999,"{'0': 0.9808817791650409, '1': 0.9868957483983692}","{'0': 0.9824150058616647, '1': 0.9857475276323444}","{'0': 0.9816477938305349, '1': 0.9863213038416764}","[2514, 45, 49, 3389]",3.66943359375,0.0,15890432
no_lora_client_2,13,True,0.8461538461538461,5,11,1999,"{""class_0"": 1227, ""class_1"": 772}",0.4233579048385255,0.9721527430381858,0.9722237485739931,0.9721527430381858,0.9721757528310511,0.08278872919330994,1999,"{'0': 0.9800546448087432, '1': 0.9597774925117672}","{'0': 0.9744634610160282, '1': 0.9684801381692574}","{'0': 0.9772510557144803, '1': 0.9641091768751343}","[3587, 94, 73, 2243]",3.684732675552368,0.0,15890432
no_lora_client_3,14,True,1.0,5,14,2000,"{""bin_00_0.0-0.1"": 200, ""bin_01_0.1-0.2"": 200, ""bin_02_0.2-0.3"": 218, ""bin_03_0.3-0.4"": 182, ""bin_04_0.4-0.5"": 200, ""bin_05_0.5-0.6"": 279, ""bin_06_0.6-0.7"": 141, ""bin_07_0.7-0.8"": 180, ""bin_08_0.8-0.9"": 200, ""bin_09_0.9-1.0"": 200}",1.098278899766872,0.8004273176193237,0.8983841985464096,0.8951232433319092,0.13121790663849478,0.017218140546232462,2000,"{'mse': 0.01721813902258873, 'rmse': 0.13121790663849478, 'mae': 0.1016158014535904}","{'r2': 0.8004273176193237, 'pearson': 0.8951232433319092}",{},[],3.4117844104766846,0.0,15890432
no_lora_client_1,14,True,1.0,5,14,1999,"{""class_0"": 853, ""class_1"": 1146}",0.4231765671997141,0.9896614974153743,0.9896691850896027,0.9896614974153743,0.9896635436569022,0.032749905779957775,1999,"{'0': 0.9863654070899883, '1': 0.9921282798833819}","{'0': 0.9894490035169988, '1': 0.9898196625945317}","{'0': 0.9879047990635973, '1': 0.9909726266744322}","[2532, 27, 35, 3403]",3.685342311859131,0.0,15890432
no_lora_client_2,14,True,0.8571428571428571,5,12,1999,"{""class_0"": 1227, ""class_1"": 772}",0.4233579048385255,0.9749874937468734,0.9750263616975462,0.9749874937468734,0.9750013514815452,0.06969968423619867,1999,"{'0': 0.9814562312517043, '1': 0.9648068669527897}","{'0': 0.9777234447161097, '1': 0.9706390328151986}","{'0': 0.9795862819814916, '1': 0.9677141627206199}","[3599, 82, 68, 2248]",3.686666250228882,0.0,15890432
no_lora_client_3,15,True,1.0,5,15,2000,"{""bin_00_0.0-0.1"": 200, ""bin_01_0.1-0.2"": 200, ""bin_02_0.2-0.3"": 218, ""bin_03_0.3-0.4"": 182, ""bin_04_0.4-0.5"": 200, ""bin_05_0.5-0.6"": 279, ""bin_06_0.6-0.7"": 141, ""bin_07_0.7-0.8"": 180, ""bin_08_0.8-0.9"": 200, ""bin_09_0.9-1.0"": 200}",1.098278899766872,0.8135473132133484,0.9019333273172379,0.902405321598053,0.12683144386679718,0.01608621456225713,2000,"{'mse': 0.016086215153336525, 'rmse': 0.12683144386679718, 'mae': 0.09806667268276215}","{'r2': 0.8135473132133484, 'pearson': 0.902405321598053}",{},[],3.6387195587158203,0.0,15890432
no_lora_client_2,15,True,0.8666666666666667,5,13,1999,"{""class_0"": 1227, ""class_1"": 772}",0.4233579048385255,0.9769884942471235,0.9770646476769022,0.9769884942471235,0.9770101710075646,0.06598559653883179,1999,"{'0': 0.9844134536505332, '1': 0.9653846153846154}","{'0': 0.9779951100244498, '1': 0.9753886010362695}","{'0': 0.9811937857726901, '1': 0.970360824742268}","[3600, 81, 57, 2259]",3.6804850101470947,0.0,15890432
no_lora_client_1,15,True,1.0,5,15,1999,"{""class_0"": 853, ""class_1"": 1146}",0.4231765671997141,0.9903284975821244,0.9903423045088842,0.9903284975821244,0.9903313551703536,0.03271279605912666,1999,"{'0': 0.9863866199922209, '1': 0.993286631640397}","{'0': 0.9910121141070731, '1': 0.9898196625945317}","{'0': 0.9886939571150097, '1': 0.9915501165501166}","[2536, 23, 35, 3403]",3.6677474975585938,0.0,15890432
no_lora_client_3,16,True,1.0,5,16,2000,"{""bin_00_0.0-0.1"": 200, ""bin_01_0.1-0.2"": 200, ""bin_02_0.2-0.3"": 218, ""bin_03_0.3-0.4"": 182, ""bin_04_0.4-0.5"": 200, ""bin_05_0.5-0.6"": 279, ""bin_06_0.6-0.7"": 141, ""bin_07_0.7-0.8"": 180, ""bin_08_0.8-0.9"": 200, ""bin_09_0.9-1.0"": 200}",1.098278899766872,0.8220549821853638,0.9049128815531731,0.9070542454719543,0.1239040543588972,0.015352214395999908,2000,"{'mse': 0.015352214686572552, 'rmse': 0.1239040543588972, 'mae': 0.09508711844682693}","{'r2': 0.8220549821853638, 'pearson': 0.9070542454719543}",{},[],3.516970157623291,0.0,15890432
no_lora_client_2,16,True,0.875,5,14,1999,"{""class_0"": 1227, ""class_1"": 772}",0.4233579048385255,0.983658495914624,0.9836823190559743,0.983658495914624,0.9836662689656628,0.05050008825833599,1999,"{'0': 0.988280185336604, '1': 0.9763745704467354}","{'0': 0.9850584080412931, '1': 0.981433506044905}","{'0': 0.9866666666666667, '1': 0.9788975021533161}","[3626, 55, 43, 2273]",3.682734251022339,0.0,15890432
no_lora_client_1,16,True,1.0,5,16,1999,"{""class_0"": 853, ""class_1"": 1146}",0.4231765671997141,0.9919959979989995,0.9919970211711714,0.9919959979989995,0.991996396892802,0.025965146417108675,1999,"{'0': 0.9902381882077314, '1': 0.9933061699650757}","{'0': 0.9910121141070731, '1': 0.9927283304246655}","{'0': 0.990625, '1': 0.9930171661332557}","[2536, 23, 25, 3413]",3.678331136703491,0.0,15890432
no_lora_client_1,17,True,1.0,5,17,1999,"{""class_0"": 853, ""class_1"": 1146}",0.4231765671997141,0.9936634984158746,0.993664355777836,0.9936634984158746,0.9936638142068016,0.02445349922310561,1999,"{'0': 0.9921905505661851, '1': 0.9947613504074505}","{'0': 0.9929660023446659, '1': 0.9941826643397323}","{'0': 0.992578125, '1': 0.9944719231888275}","[2541, 18, 20, 3418]",3.6705925464630127,0.0,15890432
no_lora_client_3,17,True,1.0,5,17,2000,"{""bin_00_0.0-0.1"": 200, ""bin_01_0.1-0.2"": 200, ""bin_02_0.2-0.3"": 218, ""bin_03_0.3-0.4"": 182, ""bin_04_0.4-0.5"": 200, ""bin_05_0.5-0.6"": 279, ""bin_06_0.6-0.7"": 141, ""bin_07_0.7-0.8"": 180, ""bin_08_0.8-0.9"": 200, ""bin_09_0.9-1.0"": 200}",1.098278899766872,0.8301928043365479,0.9068765640258789,0.9115312695503235,0.12103768558269323,0.014650122094899416,2000,"{'mse': 0.014650121331214905, 'rmse': 0.12103768558269323, 'mae': 0.0931234359741211}","{'r2': 0.8301928043365479, 'pearson': 0.9115312695503235}",{},[],3.646357536315918,0.0,15890432
no_lora_client_2,17,True,0.8823529411764706,5,15,1999,"{""class_0"": 1227, ""class_1"": 772}",0.4233579048385255,0.9854927463731866,0.9855123782305693,0.9854927463731866,0.9854990770690067,0.04423873491709431,1999,"{'0': 0.9896457765667575, '1': 0.9789428448646326}","{'0': 0.9866883998913338, '1': 0.9835924006908463}","{'0': 0.9881648755271392, '1': 0.9812621150118458}","[3632, 49, 38, 2278]",3.6833276748657227,0.0,15890432
no_lora_client_3,18,True,1.0,5,18,2000,"{""bin_00_0.0-0.1"": 200, ""bin_01_0.1-0.2"": 200, ""bin_02_0.2-0.3"": 218, ""bin_03_0.3-0.4"": 182, ""bin_04_0.4-0.5"": 200, ""bin_05_0.5-0.6"": 279, ""bin_06_0.6-0.7"": 141, ""bin_07_0.7-0.8"": 180, ""bin_08_0.8-0.9"": 200, ""bin_09_0.9-1.0"": 200}",1.098278899766872,0.8412735462188721,0.9097668379545212,0.9175457954406738,0.11702193246657114,0.01369413202131788,2000,"{'mse': 0.013694132678210735, 'rmse': 0.11702193246657114, 'mae': 0.09023316204547882}","{'r2': 0.8412735462188721, 'pearson': 0.9175457954406738}",{},[],3.6295278072357178,0.0,15890432
