model,experiment,system,paradigm,is_lora,val_sst2_acc,val_sst2_f1,val_qqp_acc,val_qqp_f1,val_stsb_pearson,val_stsb_spearman,avg_gpu_mem_gb,peak_gpu_mem_gb,total_time_sec,total_samples
medium-bert,mediumbert_fl_single_stsb_non-iid_3clients,FL,Single-task,False,0.0,0.0,0.0,0.0,0.6521,0.6212,0.6810825386666667,0.686150656,10261.92,1416.0
medium-bert,mediumbert_fl_mtl_non-iid_9clients,FL,Multi-task,False,0.8933,0.8988,0.8183,0.7441,0.4219,0.4132,0.6790196337777777,0.679604736,33374.5,143353.0
medium-bert,mediumbert_centralized_mtl,Centralized,Multi-task,False,0.8864678899082569,0.8883977900552487,0.8333333333333334,0.8776978417266187,0.8615454825355658,0.8584116040914934,2.667126624615792,2.667126624615792,19257.400783,436944.0
medium-bert,mediumbert_centralized_single_qqp,Centralized,Single-task,False,0.0,0.0,0.8357843137254902,0.8858603066439523,0.0,0.0,2.6467195355914264,2.6467195355914264,3205.513366,363846.0
medium-bert,mediumbert_fl_single_sst2_non-iid_3clients,FL,Single-task,False,0.93,0.9348,0.0,0.0,0.0,0.0,0.67855616,0.67855616,15439.040000000005,66477.0
medium-bert,mediumbert_fl_mtl_iid_3clients,FL,Multi-task,False,0.9392,0.945,0.8962,0.8655,0.8258,0.8052,0.680650752,0.684847616,45258.21,394141.0
medium-bert,mediumbert_fl_mtl_lora_3clients,FL,Multi-task,True,0.8131,0.8362,0.7388,0.6805,0.6823,0.6512,0.184010752,0.184013312,12885.74,394141.0
distil-bert,distilbert_centralized_single_stsb,Centralized,Single-task,False,0.0,0.0,0.0,0.0,0.8711609715954807,0.8691196061336034,4.246972451503247,4.246972451503247,4561.782035,5749.0
distil-bert,distilbert_centralized_single_sst2,Centralized,Single-task,False,0.9002293577981652,0.906148867313916,0.0,0.0,0.0,0.0,4.246002389215707,4.246002389215707,18514.820688,67349.0
distil-bert,distilbert_fl_single_qqp_non-iid_3clients,FL,Single-task,False,0.0,0.0,0.8408,0.7724,0.0,0.0,1.0956402346666667,1.09730048,34904.44,107805.0
distil-bert,distilbert_fl_single_stsb_non-iid_3clients,FL,Single-task,False,0.0,0.0,0.0,0.0,0.7753,0.7421,1.0992984746666667,1.102007296,15452.52,1416.0
distil-bert,distilbert_fl_mtl_lora_3clients,FL,Multi-task,True,0.8257,0.8433,0.7535,0.6754,0.5108,0.4919,0.285237248,0.285620736,21245.26,394141.0
distil-bert,distilbert_centralized_mtl,Centralized,Multi-task,False,0.9036697247706422,0.9076923076923076,0.8137254901960784,0.8778135048231511,0.8635447821041434,0.8614326862448632,4.321388951085961,4.321388951085961,24449.680308000003,436944.0
distil-bert,distilbert_centralized_single_qqp,Centralized,Single-task,False,0.0,0.0,0.8455882352941176,0.8934010152284264,0.0,0.0,4.254653436501313,4.254653436501313,4290.592427,363846.0
distil-bert,distilbert_fl_single_sst2_non-iid_3clients,FL,Single-task,False,0.9346,0.9392,0.0,0.0,0.0,0.0,1.097169408,1.097169408,23586.44,66477.0
distil-bert,distilbert_fl_mtl_non-iid_9clients,FL,Multi-task,False,0.9232,0.9298,0.8579,0.8054,0.6963,0.6967,1.0969324657777777,1.104366592,52903.97,143353.0
distil-bert,distilbert_fl_mtl_iid_3clients,FL,Multi-task,False,0.9461,0.9514,0.8913,0.861,0.8284,0.8136,1.0898691413333337,1.091521536,56454.46,394141.0
