epoch,training_time,sst2_val_accuracy,sst2_val_f1,qqp_val_accuracy,qqp_val_f1,stsb_val_pearson,stsb_val_spearman,total_val_loss,gpu_usage,cpu_usage,memory_usage,timestamp
1,85.467501,0.6479357798165137,0.7413647851727043,0.696078431372549,0.8181818181818182,0.715448621398815,0.7290989562475384,102.29192774991196,2.4650807086774007,13.1,33.4,2026-02-25 23:42:35
2,83.477237,0.7259174311926605,0.7841011743450768,0.7009803921568627,0.8205882352941176,0.7514260036508138,0.7691113877395683,105.97601625105987,2.4650807086774007,13.2,35.3,2026-02-25 23:43:58
3,81.931497,0.8589449541284404,0.8649835345773875,0.7181372549019608,0.8291233283803864,0.7896350343895189,0.7907160876833791,81.45429616762947,2.4650807086774007,12.6,35.1,2026-02-25 23:45:20
4,139.723761,0.7993119266055045,0.8241206030150754,0.6862745098039216,0.8134110787172012,0.7884750884071786,0.7897072827176261,98.32565437769516,2.4650807086774007,23.3,47.2,2026-02-25 23:47:40
5,265.449967,0.8394495412844036,0.8481561822125814,0.6887254901960784,0.8145985401459854,0.7965019504893287,0.7946480227776961,92.0140111777,2.4650807086774007,33.0,43.1,2026-02-25 23:52:05
6,172.718015,0.8405963302752294,0.8503767491926802,0.7009803921568627,0.8205882352941176,0.7931164510784172,0.7936298208240824,98.26759237186828,2.4650807086774007,22.1,38.9,2026-02-25 23:54:58
7,148.60301,0.841743119266055,0.8509719222462203,0.7034313725490197,0.8217967599410898,0.7857934389892043,0.7849998470888173,104.53158581862226,2.4650807086774007,18.6,39.1,2026-02-25 23:57:27
8,148.634234,0.8497706422018348,0.8539576365663322,0.7083333333333334,0.8242245199409158,0.7896668534880202,0.7919203856664323,108.76506484296988,2.4650807086774007,18.5,39.0,2026-02-25 23:59:55
9,148.600875,0.8509174311926605,0.8536036036036037,0.7034313725490197,0.8217967599410898,0.7989210335842442,0.7972817541302876,106.0577150171739,2.4650807086774007,18.7,39.1,2026-02-26 00:02:24
10,148.552139,0.8463302752293578,0.8527472527472527,0.7132352941176471,0.826151560178306,0.7870030284274526,0.7866797397057106,112.89109581929128,2.4650807086774007,18.5,39.1,2026-02-26 00:04:52
11,148.379322,0.8463302752293578,0.8556034482758621,0.7034313725490197,0.8212703101920237,0.7848299303686016,0.7816122308749949,116.23341732614304,2.4650807086774007,18.6,39.0,2026-02-26 00:07:21
12,148.618281,0.8474770642201835,0.8530386740331491,0.7156862745098039,0.8273809523809523,0.7794812156824714,0.777269131796227,118.94394997167304,2.4650807086774007,18.5,39.0,2026-02-26 00:09:49
13,148.720338,0.8497706422018348,0.8586839266450917,0.7034313725490197,0.8217967599410898,0.7796235463857638,0.777138421741726,124.73935276281432,2.4650807086774007,18.6,39.0,2026-02-26 00:12:18
14,148.552236,0.8463302752293578,0.8562231759656652,0.7034313725490197,0.8212703101920237,0.7897509301225728,0.7859569925752449,125.42913635571432,2.4650807086774007,18.6,39.1,2026-02-26 00:14:47
15,148.630487,0.8486238532110092,0.8539823008849557,0.7034313725490197,0.8212703101920237,0.7874163121898987,0.7825524930888804,127.20213636140882,2.4650807086774007,18.6,39.2,2026-02-26 00:17:15
16,148.53481,0.8428899082568807,0.853475935828877,0.7132352941176471,0.826151560178306,0.7791879907545083,0.776761360983627,130.01210003279508,2.4650807086774007,18.6,39.2,2026-02-26 00:19:44
17,148.643101,0.8509174311926605,0.860813704496788,0.7083333333333334,0.8237037037037037,0.7968620689578898,0.7927773079652269,127.5454835337714,2.4650807086774007,18.6,39.3,2026-02-26 00:22:13
18,148.379563,0.8463302752293578,0.8571428571428571,0.7254901960784313,0.8323353293413174,0.7847246383881075,0.7807262231469013,132.17860380688094,2.4650807086774007,18.6,39.3,2026-02-26 00:24:41
19,148.678918,0.841743119266055,0.8531914893617021,0.7107843137254902,0.8249258160237388,0.7878532683429836,0.7835472588990497,133.42431492963863,2.4650807086774007,18.6,39.4,2026-02-26 00:27:10
20,148.790655,0.8555045871559633,0.8624454148471615,0.7181372549019608,0.8286140089418778,0.7836139593051648,0.7798553524399167,133.20850423688293,2.4650807086774007,18.6,39.3,2026-02-26 00:29:38
21,148.70571,0.841743119266055,0.8528784648187633,0.7132352941176471,0.826151560178306,0.7829715943190488,0.7798154556152659,138.67664540119358,2.4650807086774007,18.5,39.4,2026-02-26 00:32:07
22,148.583906,0.856651376146789,0.8609566184649611,0.7181372549019608,0.8286140089418778,0.7895785364920519,0.7856678190794473,134.98407785924442,2.4650807086774007,18.6,39.4,2026-02-26 00:34:36
23,148.563829,0.8497706422018348,0.8574537540805223,0.7181372549019608,0.8286140089418778,0.7882396251485564,0.7837631789766921,135.89431588538773,2.4650807086774007,18.6,39.5,2026-02-26 00:37:04
24,148.775759,0.8520642201834863,0.8587075575027382,0.7377450980392157,0.8381240544629349,0.7860482606785926,0.782263736662105,133.70519982166888,2.4650807086774007,18.6,39.6,2026-02-26 00:39:33
25,148.786898,0.8497706422018348,0.8539576365663322,0.7769607843137255,0.858034321372855,0.782726368570411,0.7819649393031426,130.409203863731,2.4650807086774007,18.6,39.6,2026-02-26 00:42:02
