model,experiment,paradigm,system,distribution,is_lora,val_sst2_acc,val_sst2_f1,val_qqp_acc,val_qqp_f1,val_stsb_pearson,val_stsb_spearman,train_acc,train_loss,avg_gpu_mem_gb,peak_gpu_mem_gb,total_time_sec,avg_step_time_sec,total_samples,sync_events
mini-bert,minibert_centralized_single_sst2,Single-task,Centralized,N/A,False,0.8727064220183486,0.8773072747014115,0.0,0.0,0.0,0.0,0.8727064220183486,0.0311564869970644,2.448740043358585,2.448740043358585,3348.261791,133.93047164,67349.0,0.0
mini-bert,minibert_fl_single_qqp_non-iid_3clients,Single-task,FL,Non-IID,False,0.0,0.0,0.7674,0.6201,0.0,0.0,0.9511863440655547,0.17222123984177626,0.196857344,0.196857344,9642.59,385.7036,107805.0,25.0
mini-bert,minibert_fl_single_stsb_non-iid_3clients,Single-task,FL,Non-IID,False,0.0,0.0,0.0,0.0,0.6504,0.615,0.6860123599313392,0.04098776563079707,0.19685376,0.19685376,2547.1000000000004,101.88400000000001,1416.0,25.0
mini-bert,minibert_centralized_mtl,Multi-task,Centralized,N/A,False,0.8589449541284404,0.8649835345773875,0.7769607843137255,0.858034321372855,0.7989210335842442,0.7972817541302876,0.946361560342816,0.09286152189439167,2.4650807086774007,2.4650807086774007,3652.502049,146.10008196,436944.0,0.0
mini-bert,minibert_centralized_single_qqp,Single-task,Centralized,N/A,False,0.0,0.0,0.7990196078431373,0.8535714285714285,0.0,0.0,0.7990196078431373,0.0157891306539974,2.448740043358585,2.448740043358585,318.60756000000003,12.744302400000002,363846.0,0.0
mini-bert,minibert_fl_single_sst2_non-iid_3clients,Single-task,FL,Non-IID,False,0.9151,0.9196,0.0,0.0,0.0,0.0,0.9901620109210705,0.04319746372789599,0.196857344,0.196857344,4552.750000000001,182.11000000000004,66477.0,25.0
medium-bert,mediumbert_centralized_single_stsb,Single-task,Centralized,N/A,False,0.0,0.0,0.0,0.0,0.867273563041981,0.8648429946451441,0.867273563041981,0.0323938410409957,2.646687730270523,2.646687730270523,3381.8306749999997,135.273227,5749.0,0.0
medium-bert,mediumbert_centralized_single_sst2,Single-task,Centralized,N/A,False,0.893348623853211,0.8970099667774086,0.0,0.0,0.0,0.0,0.893348623853211,0.0018855459454859,2.671146022044904,2.671146022044904,13492.619839,539.70479356,67349.0,0.0
medium-bert,mediumbert_fl_single_qqp_non-iid_3clients,Single-task,FL,Non-IID,False,0.0,0.0,0.7989,0.6852,0.0,0.0,0.9929044604751724,0.03620716793293074,0.6789056853333334,0.679604736,23880.890000000003,955.2356000000001,107805.0,25.0
medium-bert,mediumbert_fl_single_stsb_non-iid_3clients,Single-task,FL,Non-IID,False,0.0,0.0,0.0,0.0,0.6521,0.6212,0.9184350806015945,0.012025250037564031,0.6810825386666667,0.686150656,10261.92,410.4768,1416.0,25.0
