Model,CSV_File,Full_Path,Result_Folder,Headers,File_Size
tiny_bert,client_results_20260224_090509.csv,tiny_bert\fl-slms-mini-lm-non-iid-stsb\tinybert_fl_single_stsb_non-iid_3clients\client_results_20260224_090509.csv,tinybert_fl_single_stsb_non-iid_3clients,round; client_id; task; accuracy; loss; samples_processed; correct_predictions; f1_score; pearson_correlation; spearman_correlation; mae; mse; rmse; val_accuracy; val_loss; val_samples; val_correct_predictions; val_f1_score; val_pearson_correlation; val_spearman_correlation; val_mae; global_model_val_accuracy; global_model_val_loss; global_model_val_samples; global_model_val_correct_predictions; global_model_val_f1; global_model_val_precision; global_model_val_recall; global_model_val_pearson; global_model_val_spearman; timestamp,29135
tiny_bert,device_usage_stsb_client_1_20260224_090530.csv,tiny_bert\fl-slms-mini-lm-non-iid-stsb\tinybert_fl_single_stsb_non-iid_3clients\device_usage_stsb_client_1_20260224_090530.csv,tinybert_fl_single_stsb_non-iid_3clients,accuracy; client_id; device_type; gpu_memory_allocated_gb; gpu_memory_reserved_gb; gpu_memory_total_gb; gpu_memory_utilization_pct; gpu_name; loss; phase; round; samples_processed; task; timestamp,12143
tiny_bert,device_usage_stsb_client_2_20260224_090533.csv,tiny_bert\fl-slms-mini-lm-non-iid-stsb\tinybert_fl_single_stsb_non-iid_3clients\device_usage_stsb_client_2_20260224_090533.csv,tinybert_fl_single_stsb_non-iid_3clients,accuracy; client_id; device_type; gpu_memory_allocated_gb; gpu_memory_reserved_gb; gpu_memory_total_gb; gpu_memory_utilization_pct; gpu_name; loss; phase; round; samples_processed; task; timestamp,12130
tiny_bert,device_usage_stsb_client_3_20260224_090535.csv,tiny_bert\fl-slms-mini-lm-non-iid-stsb\tinybert_fl_single_stsb_non-iid_3clients\device_usage_stsb_client_3_20260224_090535.csv,tinybert_fl_single_stsb_non-iid_3clients,accuracy; client_id; device_type; gpu_memory_allocated_gb; gpu_memory_reserved_gb; gpu_memory_total_gb; gpu_memory_utilization_pct; gpu_name; loss; phase; round; samples_processed; task; timestamp,12111
tiny_bert,federated_results_20260224_090509.csv,tiny_bert\fl-slms-mini-lm-non-iid-stsb\tinybert_fl_single_stsb_non-iid_3clients\federated_results_20260224_090509.csv,tinybert_fl_single_stsb_non-iid_3clients,round; responses_received; avg_accuracy; classification_accuracy; regression_accuracy; total_clients; active_clients; training_time; synchronization_events; global_model_version; global_sst2_val_accuracy; global_sst2_val_f1; global_qqp_val_accuracy; global_qqp_val_f1; global_stsb_val_pearson; global_stsb_val_spearman; timestamp,2915
tiny_bert,client_results_20260223_141631.csv,tiny_bert\fl-slms-mini-lm-non-iid-sst2\tinybert_fl_single_sst2_non-iid_3clients\client_results_20260223_141631.csv,tinybert_fl_single_sst2_non-iid_3clients,round; client_id; task; accuracy; loss; samples_processed; correct_predictions; f1_score; pearson_correlation; spearman_correlation; mae; mse; rmse; val_accuracy; val_loss; val_samples; val_correct_predictions; val_f1_score; val_pearson_correlation; val_spearman_correlation; val_mae; global_model_val_accuracy; global_model_val_loss; global_model_val_samples; global_model_val_correct_predictions; global_model_val_f1; global_model_val_precision; global_model_val_recall; global_model_val_pearson; global_model_val_spearman; timestamp,22254
tiny_bert,device_usage_sst2_client_1_20260223_141653.csv,tiny_bert\fl-slms-mini-lm-non-iid-sst2\tinybert_fl_single_sst2_non-iid_3clients\device_usage_sst2_client_1_20260223_141653.csv,tinybert_fl_single_sst2_non-iid_3clients,accuracy; client_id; device_type; gpu_memory_allocated_gb; gpu_memory_reserved_gb; gpu_memory_total_gb; gpu_memory_utilization_pct; gpu_name; loss; phase; round; samples_processed; task; timestamp,12213
tiny_bert,device_usage_sst2_client_2_20260223_141655.csv,tiny_bert\fl-slms-mini-lm-non-iid-sst2\tinybert_fl_single_sst2_non-iid_3clients\device_usage_sst2_client_2_20260223_141655.csv,tinybert_fl_single_sst2_non-iid_3clients,accuracy; client_id; device_type; gpu_memory_allocated_gb; gpu_memory_reserved_gb; gpu_memory_total_gb; gpu_memory_utilization_pct; gpu_name; loss; phase; round; samples_processed; task; timestamp,12211
tiny_bert,device_usage_sst2_client_3_20260223_141657.csv,tiny_bert\fl-slms-mini-lm-non-iid-sst2\tinybert_fl_single_sst2_non-iid_3clients\device_usage_sst2_client_3_20260223_141657.csv,tinybert_fl_single_sst2_non-iid_3clients,accuracy; client_id; device_type; gpu_memory_allocated_gb; gpu_memory_reserved_gb; gpu_memory_total_gb; gpu_memory_utilization_pct; gpu_name; loss; phase; round; samples_processed; task; timestamp,12219
tiny_bert,federated_results_20260223_141631.csv,tiny_bert\fl-slms-mini-lm-non-iid-sst2\tinybert_fl_single_sst2_non-iid_3clients\federated_results_20260223_141631.csv,tinybert_fl_single_sst2_non-iid_3clients,round; responses_received; avg_accuracy; classification_accuracy; regression_accuracy; total_clients; active_clients; training_time; synchronization_events; global_model_version; global_sst2_val_accuracy; global_sst2_val_f1; global_qqp_val_accuracy; global_qqp_val_f1; global_stsb_val_pearson; global_stsb_val_spearman; timestamp,2928
tiny_bert,client_results_20260223_122952.csv,tiny_bert\fl-slms-mini-lm-non-iid-qqp\tinybert_fl_single_qqp_non-iid_3clients\client_results_20260223_122952.csv,tinybert_fl_single_qqp_non-iid_3clients,round; client_id; task; accuracy; loss; samples_processed; correct_predictions; f1_score; pearson_correlation; spearman_correlation; mae; mse; rmse; val_accuracy; val_loss; val_samples; val_correct_predictions; val_f1_score; val_pearson_correlation; val_spearman_correlation; val_mae; global_model_val_accuracy; global_model_val_loss; global_model_val_samples; global_model_val_correct_predictions; global_model_val_f1; global_model_val_precision; global_model_val_recall; global_model_val_pearson; global_model_val_spearman; timestamp,22605
tiny_bert,device_usage_qqp_client_1_20260223_123015.csv,tiny_bert\fl-slms-mini-lm-non-iid-qqp\tinybert_fl_single_qqp_non-iid_3clients\device_usage_qqp_client_1_20260223_123015.csv,tinybert_fl_single_qqp_non-iid_3clients,accuracy; client_id; device_type; gpu_memory_allocated_gb; gpu_memory_reserved_gb; gpu_memory_total_gb; gpu_memory_utilization_pct; gpu_name; loss; phase; round; samples_processed; task; timestamp,12091
tiny_bert,device_usage_qqp_client_2_20260223_123016.csv,tiny_bert\fl-slms-mini-lm-non-iid-qqp\tinybert_fl_single_qqp_non-iid_3clients\device_usage_qqp_client_2_20260223_123016.csv,tinybert_fl_single_qqp_non-iid_3clients,accuracy; client_id; device_type; gpu_memory_allocated_gb; gpu_memory_reserved_gb; gpu_memory_total_gb; gpu_memory_utilization_pct; gpu_name; loss; phase; round; samples_processed; task; timestamp,12094
tiny_bert,device_usage_qqp_client_3_20260223_123019.csv,tiny_bert\fl-slms-mini-lm-non-iid-qqp\tinybert_fl_single_qqp_non-iid_3clients\device_usage_qqp_client_3_20260223_123019.csv,tinybert_fl_single_qqp_non-iid_3clients,accuracy; client_id; device_type; gpu_memory_allocated_gb; gpu_memory_reserved_gb; gpu_memory_total_gb; gpu_memory_utilization_pct; gpu_name; loss; phase; round; samples_processed; task; timestamp,12099
tiny_bert,federated_results_20260223_122952.csv,tiny_bert\fl-slms-mini-lm-non-iid-qqp\tinybert_fl_single_qqp_non-iid_3clients\federated_results_20260223_122952.csv,tinybert_fl_single_qqp_non-iid_3clients,round; responses_received; avg_accuracy; classification_accuracy; regression_accuracy; total_clients; active_clients; training_time; synchronization_events; global_model_version; global_sst2_val_accuracy; global_sst2_val_f1; global_qqp_val_accuracy; global_qqp_val_f1; global_stsb_val_pearson; global_stsb_val_spearman; timestamp,2938
