model_name,experiment,paradigm,system,combined,distribution,is_lora,step,sst2_val_acc,sst2_val_f1,qqp_val_acc,qqp_val_f1,stsb_val_pearson,stsb_val_spearman,train_acc,train_loss,time_step,gpu_mem_step,total_time,peak_gpu_max,peak_gpu_avg
mini-bert,minibert_centralized_single_stsb,Single-task,Centralized,Centralized-Single-task,N/A,False,25,0.0,0.0,0.0,0.0,0.8299360983982901,0.8263408044075284,0.8299360983982901,0.1350787972394181,14.349894,2.448689295950763,411.45038200000005,2.448689295950763,2.448689295950763
mini-bert,minibert_fl_mtl_non-iid_9clients,Multi-task,FL,FL-Multi-task,Non-IID,False,25,0.8222,0.8212,0.7737,0.6637,0.3981,0.3906,0.7907,0.0,407.13,0.1968561493333333,10317.55,0.196857344,0.1968561493333333
mini-bert,minibert_fl_mtl_lora_3clients,Multi-task,FL,FL-Multi-task,IID,True,25,0.7569,0.7871,0.6947,0.5502,0.2824,0.2773,0.5277,0.0,168.47,0.06299067733333334,4191.67,0.062991872,0.06299067733333334
mini-bert,minibert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,25,0.9209,0.9273,0.835,0.7981,0.6732,0.6395,0.8561,0.0,518.21,0.1968561493333333,13341.009999999998,0.196857344,0.1968561493333333
mini-bert,minibert_centralized_single_sst2,Single-task,Centralized,Centralized-Single-task,N/A,False,25,0.8658256880733946,0.8683914510686164,0.0,0.0,0.0,0.0,0.8658256880733946,0.0316184618790616,70.775667,2.448740043358585,3348.261791,2.448740043358585,2.448740043358585
mini-bert,minibert_fl_single_qqp_non-iid_3clients,Single-task,FL,FL-Single-task,Non-IID,False,25,0.0,0.0,0.7674,0.6201,0.0,0.0,0.9512,0.0,389.35,0.196857344,9642.59,0.196857344,0.196857344
mini-bert,minibert_fl_single_stsb_non-iid_3clients,Single-task,FL,FL-Single-task,Non-IID,False,25,0.0,0.0,0.0,0.0,0.6463,0.612,0.686,0.0,99.79,0.19685376,2547.1000000000004,0.19685376,0.19685376
mini-bert,minibert_centralized_mtl,Multi-task,Centralized,Centralized-Multi-task,N/A,False,25,0.8497706422018348,0.8539576365663322,0.7769607843137255,0.858034321372855,0.782726368570411,0.7819649393031426,0.0,130.409203863731,148.786898,2.4650807086774007,3652.502049,2.4650807086774007,2.4650807086774007
mini-bert,minibert_centralized_single_qqp,Single-task,Centralized,Centralized-Single-task,N/A,False,25,0.0,0.0,0.7720588235294118,0.8342245989304813,0.0,0.0,0.7720588235294118,0.0276444133636219,15.065469,2.448740043358585,318.60756000000003,2.448740043358585,2.448740043358585
mini-bert,minibert_fl_single_sst2_non-iid_3clients,Single-task,FL,FL-Single-task,Non-IID,False,25,0.914,0.9189,0.0,0.0,0.0,0.0,0.9902,0.0,180.43,0.196857344,4552.750000000001,0.196857344,0.196857344
medium-bert,mediumbert_centralized_single_stsb,Single-task,Centralized,Centralized-Single-task,N/A,False,25,0.0,0.0,0.0,0.0,0.8665561527417039,0.864045931818211,0.8665561527417039,0.0323938410409957,124.788118,2.646687730270523,3381.8306749999997,2.646687730270523,2.646687730270523
medium-bert,mediumbert_centralized_single_sst2,Single-task,Centralized,Centralized-Single-task,N/A,False,25,0.8887614678899083,0.890888638920135,0.0,0.0,0.0,0.0,0.8887614678899083,0.002032476257824,555.796495,2.671146022044904,13492.619839,2.671146022044904,2.671146022044904
medium-bert,mediumbert_fl_single_qqp_non-iid_3clients,Single-task,FL,FL-Single-task,Non-IID,False,25,0.0,0.0,0.7893,0.6553,0.0,0.0,0.9929,0.0,943.09,0.6789056853333334,23880.890000000003,0.679604736,0.6789056853333334
medium-bert,mediumbert_fl_single_stsb_non-iid_3clients,Single-task,FL,FL-Single-task,Non-IID,False,25,0.0,0.0,0.0,0.0,0.6396,0.6148,0.9184,0.0,403.56,0.6810825386666667,10261.92,0.686150656,0.6810825386666667
medium-bert,mediumbert_fl_mtl_non-iid_9clients,Multi-task,FL,FL-Multi-task,Non-IID,False,25,0.8911,0.8969,0.8177,0.7419,0.3176,0.3222,0.8761,0.0,1325.2,0.6790196337777777,33374.5,0.679604736,0.6790196337777777
medium-bert,mediumbert_centralized_mtl,Multi-task,Centralized,Centralized-Multi-task,N/A,False,25,0.8795871559633027,0.8842337375964718,0.8137254901960784,0.8698630136986302,0.8581236789613155,0.8547192599096387,0.0,113.2870623988385,611.301109,2.667126624615792,19257.400782999997,2.667126624615792,2.667126624615792
medium-bert,mediumbert_centralized_single_qqp,Single-task,Centralized,Centralized-Single-task,N/A,False,25,0.0,0.0,0.821078431372549,0.8734835355285961,0.0,0.0,0.821078431372549,0.0016823194212209,133.476652,2.6467195355914264,3205.5133659999997,2.6467195355914264,2.6467195355914264
medium-bert,mediumbert_fl_single_sst2_non-iid_3clients,Single-task,FL,FL-Single-task,Non-IID,False,25,0.9266,0.9318,0.0,0.0,0.0,0.0,0.9999,0.0,639.44,0.67855616,15439.040000000003,0.67855616,0.67855616
medium-bert,mediumbert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,25,0.9369,0.9429,0.8951,0.8641,0.8094,0.7876,0.962,0.0,1805.26,0.680650752,45258.21,0.684847616,0.680650752
medium-bert,mediumbert_fl_mtl_lora_3clients,Multi-task,FL,FL-Multi-task,IID,True,30,0.7993,0.8198,0.733,0.6735,0.6813,0.6498,0.7134,0.0,517.11,0.18401075200000003,15505.039999999999,0.184013312,0.18401075200000003
distil-bert,distilbert_centralized_single_stsb,Single-task,Centralized,Centralized-Single-task,N/A,False,25,0.0,0.0,0.0,0.0,0.8704034395089564,0.8685539117935366,0.8704034395089564,0.0152657506376928,161.964423,4.246972451503247,4561.782035,4.246972451503247,4.246972451503247
distil-bert,distilbert_centralized_single_sst2,Single-task,Centralized,Centralized-Single-task,N/A,False,25,0.893348623853211,0.8976897689768977,0.0,0.0,0.0,0.0,0.893348623853211,0.0003919704917823,705.442726,4.246002389215707,18514.820688,4.246002389215707,4.246002389215707
distil-bert,distilbert_fl_single_qqp_non-iid_3clients,Single-task,FL,FL-Single-task,Non-IID,False,25,0.0,0.0,0.8364,0.7507,0.0,0.0,0.9988,0.0,1396.9,1.0956402346666667,34904.44,1.09730048,1.0956402346666667
distil-bert,distilbert_fl_single_stsb_non-iid_3clients,Single-task,FL,FL-Single-task,Non-IID,False,25,0.0,0.0,0.0,0.0,0.7661,0.7292,0.9765,0.0,611.04,1.0992984746666667,15452.52,1.102007296,1.0992984746666667
distil-bert,distilbert_fl_mtl_lora_3clients,Multi-task,FL,FL-Multi-task,IID,True,25,0.8257,0.8433,0.7535,0.6709,0.5108,0.4919,0.6742,0.0,824.59,0.285237248,21245.26,0.285620736,0.285237248
distil-bert,distilbert_centralized_mtl,Multi-task,Centralized,Centralized-Multi-task,N/A,False,25,0.8979357798165137,0.9003359462486002,0.8137254901960784,0.8774193548387097,0.8633310625347976,0.8609653709761603,0.0,112.0603825970291,624.513329,4.321388951085961,24449.680308000003,4.321388951085961,4.321388951085961
distil-bert,distilbert_centralized_single_qqp,Single-task,Centralized,Centralized-Single-task,N/A,False,25,0.0,0.0,0.8284313725490197,0.8833333333333333,0.0,0.0,0.8284313725490197,0.0059674461338338,108.804665,4.254653436501313,4290.592427,4.254653436501313,4.254653436501313
distil-bert,distilbert_fl_single_sst2_non-iid_3clients,Single-task,FL,FL-Single-task,Non-IID,False,25,0.9266,0.9319,0.0,0.0,0.0,0.0,0.9999,0.0,949.42,1.097169408,23586.44,1.097169408,1.097169408
distil-bert,distilbert_fl_mtl_non-iid_9clients,Multi-task,FL,FL-Multi-task,Non-IID,False,25,0.9232,0.9298,0.8537,0.7903,0.6133,0.6231,0.9352,0.0,2116.48,1.0969324657777777,52903.97,1.104366592,1.0969324657777777
distil-bert,distilbert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,25,0.945,0.9504,0.8913,0.861,0.8125,0.7997,0.9796,0.0,2248.39,1.0898691413333335,56454.46,1.091521536,1.0898691413333335
